trace	total.br.len	tree.height
mean	1127.32177011715	150.428759096238
stderr.of.mean	1.71002403005858	0.315529867998293
stdev	49.9145922919649	11.5399302362443
variance	2491.46652367309	133.169989857385
median	1125.49416626673	150.065156353193
mode	numeric	numeric
geometric.mean	1126.22520111175	149.988719558832
HPD95.lower	1029.36061711096	126.985863492887
HPD95.upper	1219.63528591103	172.220035906201
ACT	NA	NA
ESS	852.495256728786	1338.34092034891
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
