trace	total.br.len	tree.height
mean	1276.90848762183	200.086606679096
stderr.of.mean	2.70274627153953	1.29309758974755
stdev	111.171880931351	54.4385088040068
variance	12359.1871098145	2963.55124080393
median	1250.51458317981	186.579006230818
mode	numeric	numeric
geometric.mean	1272.66497202319	194.702773047814
HPD95.lower	1126.42274213352	132.772568011212
HPD95.upper	1486.38056587904	302.204318201604
ACT	NA	NA
ESS	1692.85864288694	1773.33660196767
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
