trace	total.br.len	tree.height
mean	168.310111569558	48.7308805952619
stderr.of.mean	0.145059638316292	0.0196171009829534
stdev	5.16276276033563	0.832282979497294
variance	26.6541193195084	0.692694957960894
median	168.124617044928	48.6897763251212
mode	numeric	numeric
geometric.mean	168.2311385284	48.7238036480745
HPD95.lower	158.705787406966	47.2450318348332
HPD95.upper	178.536135810418	50.3868914100122
ACT	NA	NA
ESS	1267.39648623606	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
