trace	total.br.len	tree.height
mean	406.659339805439	60.011663459793
stderr.of.mean	0.253336374121098	0.0590085462434885
stdev	8.95296867370522	2.50352020545804
variance	80.155648072347	6.26761341913669
median	406.408225381227	59.8518143984055
mode	numeric	numeric
geometric.mean	406.56101080589	59.9600327019011
HPD95.lower	390.074888796012	55.6695079256052
HPD95.upper	426.070590755257	65.1214297829424
ACT	NA	NA
ESS	1249.62691525064	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
