trace	total.br.len	tree.height
mean	1260.83062041422	218.209465531344
stderr.of.mean	3.88068713082914	1.81191991727906
stdev	157.32312885384	74.2070137922786
variance	24750.566872362	5506.68089596742
median	1226.20152958631	198.215293840732
mode	numeric	numeric
geometric.mean	1252.03043553265	208.322192204078
HPD95.lower	1034.79834058939	123.771659930762
HPD95.upper	1584.96599597943	369.8990058456
ACT	NA	NA
ESS	1644.40667548511	1678.23685560779
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
