trace	total.br.len	tree.height
mean	80.810631587766	46.5051785126281
stderr.of.mean	0.0676202404613848	0.00960226750411811
stdev	2.24149873042347	0.371788798280292
variance	5.02431655849004	0.138226910526704
median	80.7077391068028	46.4266676722734
mode	numeric	numeric
geometric.mean	80.7796718847261	46.5037010104916
HPD95.lower	76.3484130859823	46.0000269555838
HPD95.upper	85.0128976817507	47.2004496974624
ACT	NA	NA
ESS	1099.42324400362	1499.98301703137
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
