trace	total.br.len	tree.height
mean	6988.79830680626	1292.77116563843
stderr.of.mean	26.9095534497133	5.34891992452713
stdev	516.035465036254	130.739497739411
variance	266292.601175183	17092.8162691535
median	6974.95345577895	1287.3327186545
mode	numeric	numeric
geometric.mean	6969.91414749578	1286.2569036726
HPD95.lower	6034.24611341203	1037.78019572653
HPD95.upper	8030.63851731801	1537.86290358005
ACT	NA	NA
ESS	367.948858402391	597.754388743312
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
