trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-4722.87101741815	-4299.82567835952	-423.045339058628	0.166629205177458	0.0976143307313653	0.0987200008943635	0.637036463196816	0.406034354334302	0.174362281640263	0.197178817625442	0.222424546399995	2.30086796294136	4.43190707579979	1.67247201044518	0.663763994777411	0.00310935375231248	10.2164341372246	49.8556070612807	290.090232782417	-2088.36824307027	-2211.45743528925
stderr.of.mean	0.285915081943754	0.192073198993921	0.218239283591573	0.000398580782236434	0.000263606864302744	0.000292174001720858	0.000507374815165937	0.000476968503984802	0.00034987728939694	0.000366348327936399	0.000401628473766816	0.00722597672795233	0.0143496550577319	0.00154055878942357	0.000770279394711786	4.47160315694198e-06	0.028594455307603	0.0397102977078604	0.250715521833941	0.159563312112524	0.13137895373464
stdev	11.3973536841864	8.14897443200961	8.13705308152239	0.0163264938056783	0.0107235379678602	0.0123958911612471	0.0215260870224986	0.0196180512558432	0.0148440339441981	0.0152802476624193	0.0169621834680245	0.288539207141655	0.608804209989316	0.0653603639225986	0.0326801819612993	0.000173285833827332	1.12703674813869	1.41128088305852	9.77081484732659	6.76969695669451	5.57393608528195
variance	129.899671002438	66.4057842935463	66.211632851513	0.000266554399986852	0.000114994266548139	0.000153658117681485	0.000463372422500181	0.000384867935076889	0.000220345343736506	0.00023348596862487	0.000287715668002923	0.0832548740579351	0.370642566100716	0.00427197717209453	0.00106799429302363	3.00279802052338e-08	1.27021183165504	1.99171373088644	95.4688227807377	45.8287968854789	31.0687634828083
median	-4723.09406292278	-4299.76939765891	-423.131794852752	0.165624884186813	0.0974646359736975	0.0984667431046929	0.637327351225589	0.405758019744008	0.174179260671648	0.196542981533605	0.221807743313176	2.27889113277804	4.40012011029928	1.67120428406807	0.664397857965967	0.0031087879051785	10.1493664448469	49.7562499730625	289.626801746949	-2088.10325983016	-2211.33696827577
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.165828886294605	0.0970229541010184	0.0979391491372761	0.636671459058561	0.405560089774398	0.173729177983375	0.196586035937404	0.221779600681263	2.28310659130972	4.39071977763503	1.67119358634065	0.662957219885016	0.00310452035260787	10.1551341758581	49.83575657782	289.926095812051	NaN	NaN
HPD95.lower	-4745.68352653402	-4315.52444713484	-437.900930486661	0.137084709400128	0.0763936340906775	0.0754077476739793	0.593630850235873	0.371775292928991	0.145989866311094	0.170498952842172	0.189515777592578	1.74259559411939	3.2928316519451	1.53195673523753	0.60519283885965	0.00275446334956051	7.98303168762899	47.2597304114354	272.104678493915	-2102.10286077426	-2222.44677729422
HPD95.upper	-4700.96967214657	-4284.17940660935	-406.674704694596	0.199854687141057	0.117889808471725	0.123670011391428	0.677372575859622	0.445975394611379	0.203924651751447	0.229731328371721	0.25660559543967	2.85232574256744	5.6202885484994	1.7896143222807	0.734021632381233	0.00343739842493756	12.3546562834448	52.698641360282	309.744818428493	-2075.25702409545	-2201.04058878372
ACT	28319.0355292015	25000	32370.0921848057	26820.0284536323	27192.5303720291	25000	25000	26599.9030523407	25000	25866.6400970805	25228.8733607821	28222.5225449396	25000	25000	25000	29964.8954685397	28966.7574117465	35628.0249918405	29628.7450139177	25000	25000
ESS	1589.91996579728	1801	1390.9444478238	1678.78270814818	1655.78559199896	1801	1801	1692.67534213956	1801	1740.65900445577	1784.66154061365	1595.35703898563	1801	1801	1801	1502.59159246098	1554.36797291442	1263.75234131871	1519.63912001167	1801	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
