trace	total.br.len	tree.height
mean	19118.8123341215	3407.49777060516
stderr.of.mean	119.07432857684	41.4633035365665
stdev	3807.26624154202	1617.8658677992
variance	14495276.2339855	2617489.96618966
median	18353.7974595775	3008.98492886716
mode	numeric	numeric
geometric.mean	18783.6876227104	3107.56928166962
HPD95.lower	13215.589121314	1411.38971868142
HPD95.upper	27218.5871373091	6967.47192348093
ACT	NA	NA
ESS	1022.89617619363	1523.34603071736
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
