fn	fn2	mu	Theta	psi.treeLength	psi.height
sim1p_19	sim1p_101	194.545777536744	463.471520882755	804.475672599113	1194.61651768761
sim1p_23	sim1p_102	15.1520091500186	22.3581864903102	67.1070584178647	185.100029226537
sim1p_39	sim1p_103	138.12219703304	561.391929971353	1104.65563188873	1801
sim1p_51	sim1p_104	74.8140130915754	212.994160970064	897.896419351366	1801
sim1p_75	sim1p_105	148.175509894642	472.733386709862	1670.56411613086	1788.43914191749
sim1p_80	sim1p_106	192.429301910159	791.598637634458	1791.89712511256	1801
