trace	total.br.len	tree.height
mean	185.798025721732	49.5400454424647
stderr.of.mean	0.205758348874596	0.0327924606006687
stdev	7.28110018716732	1.35547605978199
variance	53.014419935568	1.8373153486421
median	185.705885053805	49.4130119735355
mode	numeric	numeric
geometric.mean	185.656045628477	49.5217127883678
HPD95.lower	171.491361072995	46.9283637301619
HPD95.upper	199.887322698786	52.1875417896854
ACT	NA	NA
ESS	1252.91157992744	1709.53121041082
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
