trace	sim1p_0	sim1p_1	sim1p_2	sim1p_3	sim1p_4	sim1p_5	sim1p_6	sim1p_7	sim1p_8	sim1p_9	sim1p_10	sim1p_11	sim1p_12	sim1p_13	sim1p_14	sim1p_15	sim1p_16	sim1p_17	sim1p_18	sim1p_101	sim1p_20	sim1p_21	sim1p_22	sim1p_102	sim1p_24	sim1p_25	sim1p_26	sim1p_27	sim1p_28	sim1p_29	sim1p_30	sim1p_31	sim1p_32	sim1p_33	sim1p_34	sim1p_35	sim1p_36	sim1p_37	sim1p_38	sim1p_103	sim1p_40	sim1p_41	sim1p_42	sim1p_43	sim1p_44	sim1p_45	sim1p_46	sim1p_47	sim1p_48	sim1p_49	sim1p_50	sim1p_104	sim1p_52	sim1p_53	sim1p_54	sim1p_55	sim1p_56	sim1p_57	sim1p_58	sim1p_59	sim1p_60	sim1p_61	sim1p_62	sim1p_63	sim1p_64	sim1p_65	sim1p_66	sim1p_67	sim1p_68	sim1p_69	sim1p_70	sim1p_71	sim1p_72	sim1p_73	sim1p_74	sim1p_105	sim1p_76	sim1p_77	sim1p_78	sim1p_79	sim1p_106	sim1p_81	sim1p_82	sim1p_83	sim1p_84	sim1p_85	sim1p_86	sim1p_87	sim1p_88	sim1p_89	sim1p_90	sim1p_91	sim1p_92	sim1p_93	sim1p_94	sim1p_95	sim1p_96	sim1p_97	sim1p_98	sim1p_99
mean	3.91810614143559	3.10071880530744	8.77476736675736	4.36928191259535	2.64212303339294	1.77452372425763	0.806061587512602	2.87357935760165	3.37242663053265	3.94519428918563	1.61460050222642	1.51819774244023	4.56334924078886	2.50806768552841	3.70531695093566	2.71187530950182	3.67468020715616	1.73449719091994	4.68000137444193	0.857105599013364	4.5329569057599	1.26716210251823	3.74065410895414	1.31525403692746	2.13908093599671	1.60018155042622	2.24044628360825	3.0035676459793	1.13589698164457	3.63019137610631	3.6168057655781	1.54734656964977	2.43777066449548	1.39772760403868	3.09970182955016	2.41525057266852	3.88331219476005	5.31088095947585	2.74401524330797	3.71117529348202	1.29338073670998	2.17234709514819	1.93279955219026	1.62145840679077	3.28279730256517	2.31155948027043	3.11545475925388	3.23645615022736	2.55373499914476	1.93449857922776	4.43839571816633	6.08251208521429	7.34495164575794	2.3968179687781	1.69836337943075	1.81935414381927	2.446631947783	2.12453896986351	4.16375790429807	3.69133522483875	1.35763318407583	3.12575578472157	3.27004126101188	2.8973224310845	6.7841144226847	2.37029993824092	2.37756018739744	2.20305538956418	0.676621844408204	2.87862714644743	2.70213137022793	5.62905050857207	4.46725805142234	1.63897794546711	2.45675378413544	3.44825634228537	3.89855154684357	1.48833856064702	4.74122240156153	2.01243068409276	2.48180490655437	2.3591740193732	2.39745195056566	1.61894609354107	1.82618927918249	2.04065497550371	4.50482952582526	2.46422784708425	8.63478422475105	5.05454969789122	2.32956324167602	1.17060169307165	3.80410663531775	2.57996661046622	1.53486600287175	2.96790288600256	3.06805218972159	2.67309908317267	2.555745072983	5.01765198201086
HPD95.lower	3.72589784417133	2.97621024009614	7.85467133250609	4.08510780400588	2.18198554238005	1.65401648792483	0.739498793289196	2.11757005774818	3.21281299619366	3.08222397004176	1.53272854225957	1.21022248301032	4.31908234728156	2.08647845183146	2.86496366097739	1.49506129055966	3.3580354222257	1.66635462978997	3.98774008579767	0.641997619921717	3.50929314011116	1.08987741772671	3.50832674766981	1.07630208892724	1.35977465885893	1.45874378956282	1.95592285641638	2.52813222678634	1.0681275169225	3.44384425407818	3.24470246639969	1.44900104950955	1.44006993041124	1.14924357318773	2.93957108412131	2.29358482732565	2.94426855745211	4.85541017315433	2.06891601183549	3.4069313403801	1.15215119786424	1.92914073958845	1.42469460880631	1.5314745963723	2.68613584644278	1.96152313013672	2.86739794397501	2.799456745699	2.0956279991524	1.61730422562893	4.04271993313238	5.34688309141445	4.72348477703415	1.54431578878945	1.60730569804351	1.73968039196152	2.10296009642204	1.65869087973646	3.89917167615246	2.48466085821	1.08031020998527	1.82120066841516	3.09048324198601	2.37287307717266	5.33987996840365	2.20825909032832	2.03244322925442	1.80030514081601	0.607315487073913	2.64164767617124	2.48624819080754	4.48493293076209	4.28300189668449	1.48361109816158	2.23746845020878	3.18990116272188	3.50285159395904	1.34409487030478	4.3195229997163	1.8722192476977	2.18671764575149	1.61122739475332	2.02848683930576	1.50428155796973	1.66289629882652	1.3004389934279	2.40084216106389	2.19561927476719	7.41427539555966	4.76532942843112	2.18328212903408	1.01802505268722	3.51875560725357	2.38292674290473	1.42676119138143	2.83163708157775	2.91463830228692	2.26841381224564	2.36979512100134	4.80974540239112
HPD95.upper	4.10802704764001	3.22248139067298	10.0453422477948	4.64889107506868	3.0785351926049	1.89320747686525	0.87258923548953	3.60736454106214	3.53554535690391	4.76854320802571	1.69209012042833	1.82528160126748	4.80779814696734	2.97630360650063	4.59652498005542	4.21742930414249	4.03831390429241	1.80745434140818	5.32717824481677	1.09209110326341	5.58799330401748	1.43791370463419	3.97587430410017	1.58350980583211	2.94843685882227	1.73000220119204	2.53966399707134	3.50673288091549	1.19907902512493	3.80183582129426	4.05479119018601	1.65683760175011	3.57084291715227	1.70901876944291	3.25556320790097	2.53245253402769	5.12766230490376	5.76956619470372	3.38981734439218	3.98787521774627	1.42352092288526	2.48362741079501	2.50527172417151	1.7040901688676	3.87700340121249	2.70613052856018	3.3675260610283	3.70069019913005	3.07135352368359	2.31689782867494	4.83784526081259	6.89573160170453	9.8863773942052	3.33348914452268	1.78156204761707	1.9062523422672	2.79209575865309	2.5971030849501	4.40753084200501	5.00468457245498	1.67771336041924	4.61586491722488	3.46651079704936	3.39291562696556	8.19843480904041	2.53386817462309	2.72213335823316	2.58083564572897	0.741882230631553	3.14140231662901	2.90035888372997	6.71351444167097	4.67520133210563	1.78777640121652	2.72065036143821	3.68148296438102	4.29953982844177	1.62242748183387	5.13604086885596	2.16392312174263	2.76927485397052	3.09767252592506	2.74005071947462	1.73847636665944	1.96570386933955	2.90776356905791	6.87835157908843	2.74156578142366	10.003252406683	5.34415532991715	2.46652274859065	1.31439095084033	4.11092945239602	2.78659453180648	1.64047099312672	3.09615244537846	3.2138433842582	3.05010780095989	2.71035834214429	5.23498598886375
ESS	1760.93367957431	1714.25253227955	1801	1801	1681.36244526661	1565.8818723766	1520.18410565404	1651.20294778546	1385.06350863638	1658.48343529558	1801	1569.81968562651	1801	1546.95288998831	1638.70619982538	1801	1801	1600.18105617976	1801	1182.6762452171	1801	1770.57295742708	1801	1654.61289134211	1742.22964501894	1801	1662.90601795049	1643.7585876715	1801	1670.14627560735	1801	1801	1801	1735.02799118031	1801	1801	1356.18059493725	1801	1729.98191169026	1681.27568632886	1353.45379384707	1605.43863667165	1801	1801	1801	1736.54754863688	1566.17472898182	1698.47462813555	1782.47342043684	1686.06101131041	1801	1718.8607890137	1627.04070663236	1519.16722623819	1639.19033100265	1801	1801	1629.56364610066	1752.66352387108	1723.95395702365	1801	1801	1722.42214613797	1765.9585984883	1664.23989221153	1768.7117314344	1801	1801	1372.45192788872	1801	1801	1801	1715.39738724287	1801	1640.00023294274	1620.17093042794	1740.61428117693	1758.93463150592	1801	1801	1635.60405081926	1801	1757.96727832552	1801	1801	1801	1494.256063223	1692.48431552614	1734.16857652444	1701.27109743968	1648.17267368016	1655.59360137609	1789.90289517088	1801	1594.26100346983	1797.56887954174	1801	1801	1801	1752.92434259228
