trace	total.br.len	tree.height
mean	230.086066746214	48.7370812904241
stderr.of.mean	0.146645869797652	0.0113416300038295
stdev	3.97704161862478	0.481184534868109
variance	15.8168600362736	0.231538556596239
median	230.012090979336	48.7200577900517
mode	numeric	numeric
geometric.mean	230.051778203928	48.7347088585478
HPD95.lower	222.385013845248	47.8016715048675
HPD95.upper	237.972902630186	49.6508530541649
ACT	NA	NA
ESS	735.905318554845	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
