trace	total.br.len	tree.height
mean	962.658040324852	143.237197402585
stderr.of.mean	1.03044702139914	0.282603938827097
stdev	31.2627768556515	10.9069851726843
variance	977.361216726261	118.962325557155
median	960.629177811344	142.401943667299
mode	numeric	numeric
geometric.mean	962.153364386302	142.827858181637
HPD95.lower	904.301496410797	122.922406370374
HPD95.upper	1027.52542985201	165.617086073791
ACT	NA	NA
ESS	920.96920115811	1490.37091318877
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
