trace	total.br.len	tree.height
mean	223.626854914659	49.3019730632566
stderr.of.mean	0.237862898388586	0.0356005124773349
stdev	8.75374201548627	1.48867140923586
variance	76.6279992736897	2.21614256467627
median	223.248124514244	49.1797189948356
mode	numeric	numeric
geometric.mean	223.45697540526	49.2797987261703
HPD95.lower	207.619128832717	46.6044200551879
HPD95.upper	241.039059742501	52.1671021434986
ACT	NA	NA
ESS	1355.11269911064	1749.55072009759
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
