trace	total.br.len	tree.height
mean	8881.35660200322	1728.58946964376
stderr.of.mean	54.39569039878	21.28405220798
stdev	1542.4115907163	735.441109567993
variance	2379033.515176	540873.6256426
median	8528.86547641282	1535.30388060257
mode	numeric	numeric
geometric.mean	8765.1121082116	1608.6281266475
HPD95.lower	6687.88126590771	813.126759300181
HPD95.upper	11891.7496233752	3173.54629206252
ACT	NA	NA
ESS	804.475672599113	1194.61651768761
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
