trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-5110.9767455662	-4656.96841864945	-454.008326916755	0.230409591873531	0.24791742480533	0.390423079377651	0.131249903943491	0.202814153887416	0.218742281562532	0.517806751967771	0.0606368125822878	2.77123939996186	2.02752082500811	0.600433015728408	1.1997834921358	0.00290431615870722	13.1022064243849	72.4019847598922	366.697480125821	-1154.58646699625	-3502.38195165319
stderr.of.mean	0.307052593096236	0.191947236764774	0.255427207912476	0.000606983862903616	0.00058232234385767	0.000649181692444062	0.000430669552224713	0.00030521635262951	0.000377832184939619	0.000435578584254752	0.000173507974958708	0.0112487072629051	0.00474209457049424	0.00113069332957991	0.00056534666478996	4.49637538766553e-06	0.0363396066175654	0.0884393827107287	0.4450938419762	0.111387377899853	0.176535171164583
stdev	10.9415762504586	7.96222968339351	8.00884291120237	0.0227387779967486	0.0233536809717842	0.0275424423665835	0.0182717588300036	0.0129492311620625	0.0147911206812839	0.0174006355998351	0.00736131880498865	0.469673826636269	0.201190002621616	0.0479712478443291	0.0239856239221647	0.00016476999745851	1.38658959437867	3.66039172359134	14.8414443798514	4.63703961042937	7.4897518430781
variance	119.718090844599	63.3971015311127	64.1415647763165	0.000517052024785417	0.000545394414931875	0.000758586131516572	0.000333857170741815	0.00016768258768853	0.000218777251008305	0.00030278211927825	5.41890145486795e-05	0.220593503427157	0.0404774171548859	0.00230124061974205	0.000575310154935519	2.71491520624772e-08	1.92263070323921	13.398467570136	220.268471280224	21.502136348691	56.0963826708917
median	-5110.65770032703	-4656.29291008889	-453.825132538199	0.229202872230073	0.247487231482316	0.390044763655019	0.130291014831154	0.202720728858266	0.218297723631319	0.517833153456317	0.0603440766024212	2.74368823020362	2.02185006330041	0.597119488035582	1.20144025598221	0.00290256752161529	13.0000794163776	72.2497197491877	365.638681021533	-1154.37239553838	-3501.95431476608
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.229293253154515	0.246812010847658	0.389447638442332	0.129987813903607	0.202402123635653	0.21824269823359	0.517514252893949	0.0601929747515673	2.73225213067014	2.01754807526174	0.598533761556028	1.19954274866833	0.00289964305376346	13.0297609029032	72.3102501433543	366.398596602008	NaN	NaN
HPD95.lower	-5134.01645816443	-4671.45630086261	-469.762065818196	0.186873684357534	0.202664529594864	0.33450129884947	0.0987827893790166	0.179791948312646	0.189540935016646	0.483317406134695	0.0468955144284319	1.91803122837993	1.64315094031126	0.503719518879578	1.15598961506314	0.00257552287779792	10.4589486591824	65.8863958728376	338.523928426187	-1163.62592238397	-3516.15641651376
HPD95.upper	-5091.25623352674	-4640.90917367035	-439.038179178611	0.27484516807269	0.293419931679304	0.441998988469815	0.168295799200785	0.230329908987989	0.246360750761977	0.550158649953662	0.0747562636158763	3.71750960362888	2.41848622795888	0.688020769873742	1.24814024056021	0.00322382466411677	15.8624875540614	79.5685526575477	395.948575098258	-1145.92098078802	-3487.2601822516
ACT	35438.7288698522	26152.1082953793	45772.7643295479	32065.0873225925	27978.7689780586	25000	25000	25000	29363.520140167	28197.7978851352	25000	25812.1922587162	25000	25000	25000	33510.5251285729	30908.4302924351	26269.3093942837	40472.7965110462	25965.8610948072	25000
ESS	1270.50267986059	1721.65851760239	983.663553195865	1404.1751873938	1609.25593385861	1801	1801	1801	1533.36520230111	1596.75589503163	1801	1744.33072358649	1801	1801	1801	1343.60771212174	1456.72231083893	1713.97730043857	1112.47563502837	1734.00758155501	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
