trace	total.br.len	tree.height
mean	140.434607929863	46.4690782361465
stderr.of.mean	0.146116595241343	0.0102913506035038
stdev	5.06027271608575	0.420537324139607
variance	25.6063599611619	0.176851640994501
median	140.32178894608	46.3583805262954
mode	numeric	numeric
geometric.mean	140.343623645893	46.4671994299552
HPD95.lower	130.605233577926	46.0000275949677
HPD95.upper	150.003267006893	47.261119008022
ACT	NA	NA
ESS	1200.0244654298	1670.72775697985
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
