trace	total.br.len	tree.height
mean	414.446232102508	58.4866379779733
stderr.of.mean	0.397869418742163	0.0510590063214827
stdev	11.804059560217	2.1204127447616
variance	139.33582210115	4.49615020814742
median	414.279687181512	58.4082372357318
mode	numeric	numeric
geometric.mean	414.278637327487	58.4484629762004
HPD95.lower	391.873615057629	54.6278238981328
HPD95.upper	438.037224088277	62.6733409389383
ACT	NA	NA
ESS	880.689882646169	1725.58928904128
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
