trace	total.br.len	tree.height
mean	2364.70876819263	376.894682278949
stderr.of.mean	6.70314795079609	1.24233963179086
stdev	124.45860707774	32.5992937256025
variance	15489.9448757313	1062.71395140811
median	2359.92492722794	375.478424026982
mode	numeric	numeric
geometric.mean	2361.44600079995	375.490065551812
HPD95.lower	2134.49765087524	315.415981562897
HPD95.upper	2614.39635298028	442.149391996869
ACT	NA	NA
ESS	344.932092982626	688.933089032422
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
