trace	al2_0	al2_1	al2_2	al2_3	al2_4	al2_5	al2_6	al2_7	al2_8	al2_9	al2_10	al2_11	al2_12	al2_13	al2_14	al2_15	al2_16	al2_17	al2_18	al2_19	al2_20	al2_21	al2_22	al2_23	al2_24	al2_25	al2_26	al2_27	al2_28	al2_29	al2_30	al2_31	al2_32	al2_33	al2_34	al2_35	al2_36	al2_37	al2_38	al2_39	al2_40	al2_41	al2_42	al2_43	al2_44	al2_45	al2_46	al2_47	al2_48	al2_49	al2_50	al2_51	al2_52	al2_53	al2_54	al2_55	al2_56	al2_57	al2_58	al2_59	al2_60	al2_61	al2_62	al2_63	al2_64	al2_65	al2_66	al2_67	al2_68	al2_69	al2_70	al2_71	al2_72	al2_73	al2_74	al2_75	al2_76	al2_77	al2_78	al2_79	al2_80	al2_81	al2_82	al2_83	al2_84	al2_85	al2_86	al2_87	al2_88	al2_89	al2_90	al2_91	al2_92	al2_93	al2_94	al2_95	al2_96	al2_97	al2_98	al2_99
mean	0.120030763469106	0.0421145659227372	0.619809803085046	0.325378035194423	0.0937315329197592	0.445776774383412	0.0789461335672696	0.11172860757845	0.352353395711619	0.348500403431543	0.570506684597254	0.365592224281362	0.141164717665033	0.374576396439875	0.184188510657007	0.0653681528523472	0.253324139191093	0.0899214870291257	0.3131345271751	0.589191627326914	0.0971868438086586	0.117485771814836	0.396677021011804	0.371153248337547	0.174938849203629	0.0892765738224857	0.264487941403499	0.162488950489536	0.10003764705564	0.44398383751835	0.146488916110347	0.428746551892703	0.49744492271147	0.215159808295016	0.140104843815118	0.146022402815801	0.0313647877482211	0.46573992266221	0.347951807116777	0.227623090605142	0.14233071725397	0.119994627264842	0.351752003970579	0.0604172691830815	0.40158503439612	0.458983655632076	0.288036405498311	0.238439342726896	0.111385847207257	0.527000576892711	0.222173117317177	0.428215942822142	0.154179304776237	0.169121285432647	0.259962586716252	0.405918779023063	0.603550060318718	0.325327178187049	0.517806751967771	0.132824271727669	0.138887956902097	0.0513340746003073	0.365218144620936	0.121832365236987	0.472407671459948	0.342715004352163	0.431108739947975	0.402448120771637	0.325844868449689	0.141830930514867	0.212075620636274	0.152930246609819	0.39635616074768	0.314734310443684	0.0872062233994489	0.244303731001719	0.139661225245664	0.225514945157511	0.178442738104834	0.213466359734934	0.296633543060797	0.275930583746409	0.099200705052305	0.296272918003201	0.284167068118207	0.626960076104487	0.333262583409304	0.329657764681277	0.592211960436223	0.112293587889234	0.288710624728796	0.197687739181072	0.404217186147469	0.0473292647246675	0.311292211052652	0.199525431459938	0.413719370959751	0.205876030643909	0.366650884643911	0.115455266478349
HPD95.lower	0.109448413292955	0.0297637358598907	0.587304861346667	0.31440235898089	0.0825418399718333	0.437049992052655	0.0672672226940361	0.0980636848125839	0.326466309174564	0.328547188694874	0.525643719877352	0.325832874570896	0.109324466088145	0.36260537397387	0.165530965979285	0.0456564545807933	0.246518963396186	0.0777847355403086	0.277325756791516	0.573673968908604	0.0877217539695131	0.103422352309911	0.371624621164396	0.344402580135127	0.158978439947634	0.0765068865443568	0.250078214750537	0.151378332033044	0.0922732394475719	0.427745509825353	0.12443991983247	0.398760688515009	0.474391431825957	0.203861157371653	0.13115437850904	0.121939055564878	0.0266995592413242	0.441294495445701	0.309070310521616	0.217498565857333	0.127002490015779	0.0965908007163373	0.328193549004489	0.0481165939379652	0.393501743391821	0.442026074442969	0.260306621035419	0.219763837548323	0.0962295243378104	0.481294910752937	0.184807662056283	0.407232725792252	0.147446809893353	0.160321695437781	0.238667871128201	0.391366350382177	0.567061426825977	0.292988325809505	0.483317406134695	0.116934793303642	0.133315269317192	0.0434566420007828	0.350872773165101	0.112205236040976	0.432118892500753	0.329883955575189	0.394922324983272	0.364505967931004	0.319625576838473	0.129147669942361	0.192020876271292	0.139941196920307	0.379539853252101	0.290584432386004	0.0751114011531054	0.234671401340532	0.111077441696378	0.213010441768663	0.168034086267421	0.209080858102392	0.286885269536015	0.2469615362303	0.072266172015384	0.264851830593169	0.271950653891309	0.601771525348511	0.310897896211889	0.318681669485854	0.575690589892186	0.103828145078181	0.25546041143512	0.16852896311546	0.376806963872063	0.0356499342806248	0.283175750919812	0.174082992455305	0.387264557859979	0.18257474083886	0.320153556914419	0.0960957820085694
HPD95.upper	0.130334288976772	0.0548610747244806	0.650110974725007	0.337657068083468	0.107881792123959	0.454982513338103	0.0906674042710078	0.125251420726374	0.37819730191711	0.370005837312882	0.613898000888739	0.405677440468226	0.172943867084996	0.385936969181689	0.20254593032495	0.0861506571667332	0.259618638833941	0.102949717729653	0.348995060519019	0.60414197869346	0.10825085696702	0.132671282962033	0.418290679810337	0.396750510645956	0.188894687310178	0.103349903819669	0.27907346338615	0.172674187939889	0.10839641939062	0.459580476091522	0.169239015191504	0.463828374695385	0.519496646745181	0.226282099500399	0.147315087066559	0.172297121527919	0.0360896633716973	0.488914061114382	0.388738454397338	0.236423525401071	0.156757411974451	0.14485946535003	0.375460155667647	0.0728888322776329	0.408749981618329	0.476689204259398	0.315648983401544	0.257716592494022	0.126088691048457	0.574791639444001	0.257754661133202	0.449335238165224	0.162223539610739	0.177430790986697	0.280386846583738	0.419975803502263	0.642494141000889	0.353939616520171	0.550158649953662	0.149307473656843	0.14528950322602	0.0616842702491685	0.380729028585745	0.132474452167712	0.509479154121533	0.355054304848787	0.46831541725099	0.438620496600278	0.332080366462708	0.153945895173703	0.229782899541304	0.165978044227705	0.415015297846632	0.340877582225976	0.0982555774614763	0.253966532067699	0.170130633972136	0.23821814515199	0.18791346896441	0.217465298634333	0.306471497318719	0.30402264690649	0.125702880343765	0.329901613019756	0.29585543090811	0.65617540114018	0.353537990705301	0.341737748278039	0.608587646372548	0.120326860088176	0.330018374781682	0.228545865046971	0.427100346672598	0.0585056720851728	0.340182740770291	0.22582397184533	0.441672764548355	0.229783510003411	0.410222217052979	0.136847325553536
ESS	1786.11099235829	1801	1801	1682.45245153414	1801	1801	1801	1801	1801	1487.02256856158	1801	1783.51159809119	1762.27586362357	1801	1801	1801	1780.30764768112	1801	1801	1785.78930644101	1801	1801	1801	1503.67257807793	1801	1801	1801	1655.23572511845	1573.57058138509	1801	1801	1743.83831794585	1654.88673263697	1801	1318.88265842706	1801	1801	1548.77245567218	1801	1494.81499229606	1801	1801	1798.5613302013	1595.43014630987	1777.7934831458	1703.48530931357	1795.30647895452	1769.15811170338	1801	1801	1801	1700.04194167768	1425.2391627553	1769.35596441508	1801	1801	1559.37794940965	1493.6657784999	1596.75589503163	1801	1801	1759.50220737082	1801	1801	1685.65696542892	1801	1634.86972764206	1796.5137465469	1801	1584.189679245	1410.30781066551	1791.3047169665	1631.71156457713	1801	1801	1801	1731.79626833462	1801	1801	1801	1801	1801	1722.30505990095	1801	1801	1774.10072308721	1801	1162.1721643172	1708.11085558949	1597.67223022029	1748.23716129499	1725.82327448775	1801	1801	1801	1801	1801	1801	1801	1801
