trace	total.br.len	tree.height
mean	458.593911998383	82.3352581023183
stderr.of.mean	0.349234420463294	0.0904557654494741
stdev	13.1776186997367	3.7574776156713
variance	173.649634595651	14.1186380322709
median	458.2229904396	82.1086975692801
mode	numeric	numeric
geometric.mean	458.405216742318	82.2503605409903
HPD95.lower	432.830975812414	74.8371392131955
HPD95.upper	485.276738404155	89.4366449353742
ACT	NA	NA
ESS	1424.56127149799	1726.48035002456
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
