trace	total.br.len	tree.height
mean	298.869347533769	54.6520483869616
stderr.of.mean	0.365797962993976	0.0635926832280767
stdev	12.5591330612942	2.50130958312815
variance	157.731823251292	6.25654963064872
median	298.02551078762	54.5276174157925
mode	numeric	numeric
geometric.mean	298.607395461276	54.5952450112246
HPD95.lower	276.01694187784	49.536546793654
HPD95.upper	324.036345981343	59.2874857586627
ACT	NA	NA
ESS	1179.4461030178	1547.96784745279
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
