trace	al1-nowd_0	al1-nowd_1	al1-nowd_2	al1-nowd_3	al1-nowd_4	al1-nowd_5	al1-nowd_6	al1-nowd_7	al1-nowd_8	al1-nowd_9	al1-nowd_10	al1-nowd_11	al1-nowd_12	al1-nowd_13	al1-nowd_14	al1-nowd_15	al1-nowd_16	al1-nowd_17	al1-nowd_18	al1-nowd_19	al1-nowd_20	al1-nowd_21	al1-nowd_22	al1-nowd_23	al1-nowd_24	al1-nowd_25	al1-nowd_26	al1-nowd_27	al1-nowd_28	al1-nowd_29	al1-nowd_30	al1-nowd_31	al1-nowd_32	al1-nowd_33	al1-nowd_34	al1-nowd_35	al1-nowd_36	al1-nowd_37	al1-nowd_38	al1-nowd_39	al1-nowd_40	al1-nowd_100	al1-nowd_42	al1-nowd_43	al1-nowd_44	al1-nowd_45	al1-nowd_46	al1-nowd_47	al1-nowd_48	al1-nowd_49	al1-nowd_50	al1-nowd_51	al1-nowd_52	al1-nowd_53	al1-nowd_54	al1-nowd_55	al1-nowd_56	al1-nowd_57	al1-nowd_58	al1-nowd_59	al1-nowd_60	al1-nowd_61	al1-nowd_62	al1-nowd_63	al1-nowd_64	al1-nowd_65	al1-nowd_66	al1-nowd_67	al1-nowd_101	al1-nowd_69	al1-nowd_70	al1-nowd_71	al1-nowd_72	al1-nowd_73	al1-nowd_74	al1-nowd_75	al1-nowd_76	al1-nowd_77	al1-nowd_78	al1-nowd_79	al1-nowd_80	al1-nowd_81	al1-nowd_82	al1-nowd_83	al1-nowd_84	al1-nowd_85	al1-nowd_86	al1-nowd_87	al1-nowd_88	al1-nowd_89	al1-nowd_90	al1-nowd_91	al1-nowd_92	al1-nowd_93	al1-nowd_94	al1-nowd_95	al1-nowd_96	al1-nowd_97	al1-nowd_98	al1-nowd_99
mean	2.05241296447743	2.54509550641421	3.10382071836434	1.89557534588675	5.68666458589723	3.14889788025347	1.46011747976738	0.926113654374869	3.17506264549924	2.42419715183988	6.6544571749611	2.8273253136192	4.76165665482306	2.66662834741476	1.49757098052924	2.14354836054316	2.94282174529266	5.99177377016988	3.07754591362762	2.60953056865161	1.6990302876796	3.8366925736264	2.00687097814357	2.69188842863103	2.06831762645032	1.87383077217579	2.94422452202249	3.86907367669414	1.91337970082064	3.73876380563618	3.09222210251576	4.10270258110649	2.66727742870986	2.19669793189814	1.70737392773681	4.57580932512156	2.73026915398252	3.01146458227476	3.41759139158925	1.54666168657913	2.68247360132616	3.79199751318682	2.34363444002851	1.66891950149065	3.39836034011173	3.20239213161823	5.16167745991274	2.44756333440827	3.10839420040141	6.76176766362916	2.91109829185593	2.64885501278751	2.82799787885507	3.29117295633662	1.28780292223816	3.45961440083284	2.27670277634817	1.90719148578497	1.36631120901814	1.55499427394855	2.17011308024834	3.85038509625799	1.94200634497579	5.03618538967783	1.5253289790203	3.5108584301185	1.59642575351043	5.41666830073454	2.66621993231458	3.11770245168468	1.00488232326388	2.57683584528653	1.46624326637847	1.45908642097983	3.96205135393307	2.20272840170447	1.88690456629435	4.08823920280476	2.91984095413002	3.44925160154068	4.02235312463343	1.65620385707116	1.91626532459673	1.22492830648947	2.46068264710454	2.79516661000217	4.1166541230427	2.12449311597084	6.9102205456938	4.32428520916906	1.84968759839627	3.86777324326995	1.04302631378854	5.14605868357589	2.65346549814451	3.38097263104174	2.13181231941817	2.76138453225544	0.971909073536174	2.64189367198043
HPD95.lower	1.84023124390077	2.37037617614375	2.81292383082713	1.64600835477251	5.13700344882846	2.43861677032754	1.32191969987075	0.765824065258631	1.87406592527179	2.14839920364948	6.34937364587695	2.45475826982511	2.79148370095264	1.93126183039043	1.21587115345981	1.82927065700814	2.52609533622914	3.85464607924042	2.58181121284643	1.87066176512061	1.30768625168666	3.57620432304921	1.46021267783965	1.82851885219257	1.73404112280071	1.58934930306986	2.68538998530698	3.38822132677162	1.77633786115528	2.97015114046808	2.51585459076975	3.79149757307768	2.28686624116892	2.09378802234944	1.43043006943498	4.1821600282957	2.56697543458379	2.5204932219283	1.72432640363652	0.535476053176976	2.27507737422997	2.58082074350926	2.20906667361968	1.20886060968567	2.09585468052685	2.73468549843267	4.59250629893102	1.76380467128997	2.7336899845167	6.27387019855241	2.6902046223529	2.31705908355044	2.58701853335029	2.95419117372653	1.03673362487047	2.83708833993293	1.97859023128119	1.61012376678765	1.25377596808577	0.668737181151142	1.86576185074846	3.39820379152471	1.82829912865444	4.42709616825613	1.22884629058729	2.86891309682637	1.46089848118086	4.34545755081147	2.45255638398285	2.76774147642667	0.780060365855898	2.30995713200446	1.34131196907651	1.33137741726156	3.67935134234807	2.07652011474267	1.72299909028845	2.93887684631002	2.73237448615225	1.96887825157834	3.12601102800353	1.00125344564625	1.53081257853149	0.942906874599126	2.26742156899603	2.37794478873452	3.42048923210374	1.88256431976245	6.40974782397196	2.48657330167387	1.33128354571958	3.39852483729732	0.561381291014592	4.90534228498834	2.3478084859433	3.12880743034684	1.78094698960649	2.22129067308924	0.904337378856452	2.25348375445455
HPD95.upper	2.25063950227031	2.71311787931273	3.40770767848914	2.17580293941212	6.36091040158655	3.91827087270977	1.60170061227456	1.07889123278919	4.58876838988555	2.71470275815277	6.94467416150731	3.27538011645527	7.0122539300339	3.4004553375898	1.76744609616292	2.43596321231927	3.36262029774948	8.47615176004253	3.65625818860721	3.46561393822059	2.19114645852248	4.1048576272341	2.54929822808733	3.61214501139466	2.41034874686498	2.16043599311444	3.19524004292893	4.36174080764762	2.05972034358952	4.43169662822641	3.71959187698248	4.41068971600412	3.09696943977314	2.31884454772694	2.00600617942645	4.97116075894785	2.90704729259784	3.4744195674791	5.09768080813767	2.70033351963816	3.12669174930728	5.04019753675713	2.47998884070837	2.19833719383029	4.66813263245622	3.6728582922174	5.79217886764292	3.16750749059348	3.5236383628359	7.30594190795718	3.15977037044655	3.05193326240956	3.09117974846414	3.61286815688447	1.54714828154965	4.17152491369799	2.62843542721827	2.23840118172316	1.49687322395878	2.69257156667658	2.45014497378975	4.33466176171254	2.05322852031227	5.76887724600767	1.81620698925225	4.15334791589325	1.72592578050993	6.82251292491226	2.88440965144579	3.43762571067159	1.28257480911112	2.85026533713946	1.58203622212463	1.60540423861321	4.29258867091429	2.32260222458075	2.06395523219973	5.31218900096526	3.0999571180424	5.0539136709777	4.86980619376187	2.37463554885213	2.31193520144403	1.52467386819558	2.62410907799365	3.2467897954007	4.75999671772493	2.38220961610419	7.38525554626364	6.06836429385513	2.31250306628724	4.30678405896076	1.54229295836036	5.37939448456695	2.98886188407073	3.63318546202782	2.48939550810672	3.33463836959171	1.04094566842272	3.06807413023991
ESS	1801	1695.90677444167	1670.58184178936	1801	1452.84270796283	1582.52108533322	1702.17734696321	1767.22439741741	1786.4915466625	1801	1801	1364.014583128	1801	1801	1747.07659022102	1801	1801	1801	1801	1801	1801	1801	1756.72439502988	1801	1801	1451.54513733767	1784.83015574426	1801	1801	1657.85628629667	1452.05296380865	1801	1801	1801	1693.68816518349	1801	1801	1069.68728079599	1801	1801	1786.29075695559	1348.79979393057	1335.23445308713	1764.26075249026	1801	1801	1801	1801	1801	1464.14558480468	1232.31892555992	1801	1744.55157080889	1801	1801	1790.87817425429	1801	1703.50746399574	1801	1770.71755725516	1789.51701584637	1801	1464.67104520304	1801	1614.22905979899	1797.09326428219	1801	1801	1634.85624968729	1801	1801	1673.39214842061	1801	1801	1537.73354678267	1403.0014603623	1801	1714.97207992614	1593.26354986292	1801	1801	1801	1589.54127707234	1801	1658.49277251697	1801	1596.00599314196	1801	1801	1677.95916550644	1756.15727948922	1801	1801	1801	1731.30106080376	1723.40093103837	1382.47138553512	1760.86818027352	1801	1801
