trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-6846.11102605345	-6492.29391674828	-353.81710930517	0.140438982150076	0.279383001398551	0.123619019566616	0.456558996884759	0.2618296194028	0.434256164521246	0.17731232401377	0.126601892062185	2.83852910102106	2.66727742870986	0.740713679576387	1.12964316021181	0.00694849931342086	6.01307245663302	48.0286048160019	225.221267107802	-1716.24274249117	-4776.05117425711
stderr.of.mean	0.282072190248668	0.207449301300215	0.231404291841035	0.000421612923958142	0.000516135143773939	0.000415993353660479	0.000595533324072727	0.000313631131679496	0.000365378189764486	0.000256725156893236	0.000214268093756248	0.00952126072835092	0.00497442561164355	0.00115744337304391	0.000578721686521955	9.1750767061931e-06	0.0171396757175098	0.0310949695539227	0.228839034946145	0.125324043934191	0.217009231850643
stdev	10.3016295759157	8.12223898664329	7.39077197865143	0.017299728926973	0.0216092802581047	0.0162410287969851	0.0252663352133368	0.0133062399466744	0.0155016813485726	0.0108919242795704	0.00909062392234307	0.403952819249313	0.211046972381087	0.0434445128897559	0.0217222564448779	0.000326711687332013	0.629985563721964	1.22307558978769	7.57793185502434	5.31704805816295	7.69806593339556
variance	106.123571919382	65.9707661561482	54.6235104404191	0.000299280620946748	0.000466960993273311	0.000263771016384499	0.000638387695112703	0.000177056021518473	0.000240302124632685	0.000118634014511894	8.26394432974761e-05	0.163177880179468	0.0445408245512233	0.00188742570022817	0.000471856425057041	1.06740526639331e-07	0.39688181049808	1.4959138983345	57.4250511993927	28.2710000528144	59.2602191149053
median	-6845.80687444539	-6492.05013149955	-353.648165115157	0.139483069255421	0.278875370663012	0.122887502354901	0.456485207565741	0.261762257170915	0.434164540018196	0.177270346624309	0.126352305538204	2.80126052692374	2.66175955135533	0.738997765643292	1.13050111717835	0.00695207630169155	5.97086481974278	47.8962499650688	224.618324379207	-1716.05758662644	-4775.79848504818
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.139375105696971	0.278546479819262	0.122547265185621	0.455858070752386	0.261491827986034	0.433979290057287	0.17697680445467	0.126277377943478	2.810352510584	2.65898101295868	0.739445412007241	1.12943373011073	0.00694080768730283	5.98069842168065	48.013195669368	225.094765977812	NaN	NaN
HPD95.lower	-6865.96270448318	-6507.01824467304	-367.5036128181	0.108225847934767	0.23534509372702	0.0929185359090613	0.408784278164751	0.235287549165844	0.402989397360606	0.156034754213577	0.109178052816448	2.0561200529387	2.28686624116892	0.658302135774377	1.0869597818798	0.00630023207454089	4.91379176413535	46.06046252714	210.234770866158	-1726.18641396762	-4790.66285920362
HPD95.upper	-6827.15324854328	-6475.91447839164	-338.660938414551	0.175452841445954	0.32047278353449	0.154725541845615	0.507119032072553	0.287255935392875	0.464300249992293	0.197898431241331	0.144378226040285	3.62257370360874	3.09696943977314	0.826080436240409	1.17084893211281	0.00757304646121747	7.32382087203508	50.3570474466851	239.87745921268	-1705.4231646496	-4761.01261796046
ACT	33738.1342637051	29355.1838575376	44113.9139458487	26727.7015799623	25671.9369957755	29522.8371422199	25000	25000	25000	25000	25000	25000	25000	31940.5228334335	31940.5228334338	35489.7096302406	33308.6005374108	29086.1376042354	41036.5842021223	25000	35760.6616961651
ESS	1334.54326928911	1533.80064722159	1020.65303149636	1684.58181356511	1753.86064586436	1525.09055220885	1801	1801	1801	1801	1801	1801	1801	1409.65131456366	1409.65131456364	1268.67761018914	1351.75297891696	1547.98827581163	1097.19171016362	1801	1259.06506939239
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
