trace	total.br.len	tree.height
mean	163.580669323783	52.0972503291031
stderr.of.mean	0.0858181902263923	0.0193002846755211
stdev	2.99297464269473	0.720350412631565
variance	8.95789721181367	0.518904716978465
median	163.521339271819	52.0637706594076
mode	numeric	numeric
geometric.mean	163.553344740131	52.0922816380678
HPD95.lower	157.64855017062	50.7261719426552
HPD95.upper	169.466765332154	53.5038144200485
ACT	NA	NA
ESS	1216.99477363439	1393.80343562047
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
