trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-17841.6377868084	-17421.7509711963	-419.886815612083	0.207493161440219	0.451562052607031	0.183035423020333	0.157909362932416	0.011075212839539	0.260902742471027	0.557815811024335	0.170206233665104	3.63080576904428	1.70737392773681	2.48015127232255	0.259924363838724	0.0274956030541285	9.67513448744846	50.5528933559458	289.453933393534	-12423.8938966133	-4997.85707458305
stderr.of.mean	0.242691860356845	0.199347348236706	0.122192210844246	0.000166025672417311	0.000219699864504092	0.000155466235216499	0.000136111710286393	5.53106132582657e-05	0.000285001733403312	0.000367861643235815	0.000274501741560571	0.00351462172220246	0.00362205847902446	0.000450035324159114	0.00022501766207956	2.0809879856018e-05	0.0221922648674254	0.0352076573341438	0.179579310555744	0.187582860812725	0.127761005491687
stdev	9.39716988788876	8.45759039979987	4.19887858420833	0.00704387164202274	0.0093210744025588	0.00659587273214591	0.00545941762253725	0.002346630220256	0.0120915976343764	0.0150286438039846	0.0103125458651987	0.149092258569167	0.149022386262259	0.019093378822674	0.0095466894113371	0.000738320332711281	0.931312069599676	1.36977769029528	6.44682708925071	7.60929539228204	5.42043956477524
variance	88.3068019018432	71.530835370787	17.6305813649234	4.96161277092921e-05	8.6882428018037e-05	4.35055370986659e-05	2.98052407772703e-05	5.50667339061871e-06	0.000146206733351658	0.000225860134587044	0.000106348602221827	0.0222285015652554	0.0222076716072981	0.000364557114866136	9.11392787165358e-05	5.45116913694896e-07	0.867342170982032	1.87629092083068	41.5615795186967	57.9013763670047	29.3811650753808
median	-17841.492206776	-17421.3733928369	-419.85695980509	0.207527471073133	0.451874913189122	0.183061533985227	0.157887846075093	0.0109334764220868	0.260466499768066	0.557896830714294	0.17006858027932	3.63107863362662	1.70184272689499	2.48030432504437	0.259847837477819	0.027476080181684	9.59937963909921	50.4830948389463	289.359798892817	-12423.5781023288	-4997.61136852187
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.20737378490946	0.451465786918112	0.182916613345407	0.157814927463541	0.0108277080065532	0.260623138731764	0.557613089012431	0.169893466618286	3.62775238626384	1.70089429135669	2.48007781322306	0.259748834528292	0.0274857024624576	9.63089627473209	50.5344015875159	289.382160674025	NaN	NaN
HPD95.lower	-17860.4429848981	-17438.5674512507	-428.168889017467	0.19414668881594	0.432338271256083	0.16976852622242	0.146598894614627	0.00661232616664941	0.238694420948341	0.530640899817316	0.15102490733134	3.33110442372267	1.43043006943498	2.44456698701164	0.241032713484396	0.0260592773746564	7.95573382288075	47.9889444861289	276.941962732743	-12438.2530869542	-5007.94004897329
HPD95.upper	-17824.5650088812	-17406.2087877319	-411.719559316241	0.221566425492802	0.46795122857516	0.19588156413871	0.168189071674154	0.0156186369828608	0.286279206485049	0.58825512685806	0.190362263660854	3.91051512326676	2.00600617942645	2.5179345730312	0.277716506494183	0.0288864390453905	11.5873261226347	53.3769039105543	302.043690962816	-12409.3271288292	-4986.4152699666
ACT	30014.3294018928	25000	38109.4597117398	25000	25000	25000	27971.176089059	25000	25000	26961.360919429	31883.8532712744	25006.8719235409	26583.9963492466	25000	25000	35748.832917876	25552.0160310488	29729.4216144581	34916.6793945739	27347.0070284942	25000
ESS	1500.116807446	1801	1181.46518844847	1801	1801	1801	1609.69277289744	1801	1801	1669.98246618753	1412.1567935004	1800.50508266948	1693.68816518349	1801	1801	1259.48167604335	1762.09188133293	1514.4929687466	1289.49833663155	1646.4324579683	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
