trace	total.br.len	tree.height
mean	319.850843858883	51.9030539557153
stderr.of.mean	0.222308088423205	0.0367225724955233
stdev	7.17441589961296	1.41921340903795
variance	51.4722435006192	2.01416670039313
median	319.738564270953	51.8464144592909
mode	numeric	numeric
geometric.mean	319.770594489294	51.8837300357303
HPD95.lower	306.572722378771	49.3004327906688
HPD95.upper	334.298484528864	54.7225091535145
ACT	NA	NA
ESS	1042.08683957814	1494.41273437967
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
