trace	total.br.len	tree.height
mean	201.280654128774	52.6429710101236
stderr.of.mean	0.122005328192321	0.0238558285871365
stdev	4.03211111776994	0.858254744209039
variance	16.257920066044	0.736601205957323
median	201.097282466181	52.5933895089604
mode	numeric	numeric
geometric.mean	201.240405549333	52.6359993806281
HPD95.lower	193.442913352155	51.0808418602766
HPD95.upper	209.134973671965	54.4795440707661
ACT	NA	NA
ESS	1092.82024193312	1295.04469202676
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
