trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-53096.3486747863	-52379.7040224538	-716.644652332523	0.385974811230983	0.307956868819947	0.255802096880682	0.0502662230683886	0.276349827146684	0.238252495729022	0.137545756320862	0.347851920803433	2.14967358734381	6.6544571749611	0.316231113269789	1.3418844433651	0.043553078960257	95.056538069984	176.514578460469	1275.80469134185	-10620.1924678006	-41759.5115546532
stderr.of.mean	0.211544182449031	0.198279546368919	0.0870388672508593	0.000222929180435103	0.000233070539575071	0.000183109229101754	8.52780588374036e-05	0.000105611010448867	7.61795922119135e-05	6.76686119947687e-05	9.53496007767094e-05	0.00242154865901138	0.00359986866825918	0.000174029246604655	8.70146233023258e-05	2.25106961566586e-05	0.218373198321086	1.84787893265691	3.74056667142042	0.130774649651283	0.180349813062797
stdev	8.93137984084444	8.41228741029052	3.03703312618697	0.00945808265302024	0.00988834401572106	0.00776866545687306	0.00361804106308141	0.00416945942923643	0.00323202587569466	0.00268771710459135	0.00404534033327742	0.102737592811038	0.152729469233055	0.00738343448451708	0.00369171724225847	0.000807953635486481	8.64385690018152	78.3988513470166	158.698779039948	5.15526604151538	7.65159336734408
variance	79.7695458614424	70.7665794733324	9.22357020955699	8.94553274713624e-05	9.77793473732465e-05	6.03521629808128e-05	1.30902211341433e-05	1.73843919320486e-05	1.04459912611598e-05	7.2238232343129e-06	1.6364778412041e-05	0.0105550129766066	0.0233262907722108	5.4515104787156e-05	1.36287761967885e-05	6.52789077095822e-07	74.7162621108156	6146.37989253161	25185.3024687703	26.5767679588016	58.5468810591839
median	-53096.0004390485	-52379.3825610285	-716.595825096748	0.386101171839343	0.307889472644744	0.255403630961443	0.0501663484933499	0.276394542359466	0.238141673704757	0.137468154215043	0.347810757655033	2.14871940029111	6.6514892581201	0.316135848352031	1.34193207582397	0.0435605231115502	94.3731816984722	150.573279842461	1226.70615079895	-10620.0240818082	-41759.4507012786
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.385858794516051	0.307798027245779	0.255684589502049	0.050136322245506	0.276318380117362	0.238230595010548	0.137519529908566	0.347828399976339	2.14721847318952	6.65270605032285	0.316145151349758	1.34187936617459	0.0435455866995071	94.6682343648062	165.395915297831	1267.61814487056	NaN	NaN
HPD95.lower	-53114.6457404202	-52395.2985719393	-722.823372683586	0.367384175280914	0.287902126243388	0.240188079433195	0.043003342195691	0.266861152258969	0.231737311955829	0.132330652496928	0.340004740871877	1.96053079540639	6.34937364587695	0.302080225997966	1.33458367059411	0.0419422374322357	78.8974497092706	101.691477626919	1114.0027397395	-10629.7893242445	-41773.783072774
HPD95.upper	-53079.4981865263	-52362.1879390196	-711.077236339441	0.404147365369339	0.326779297447983	0.270040948731122	0.0570275292310236	0.283715341982863	0.244363566833677	0.142708128054951	0.355727041463557	2.36075721374201	6.94467416150731	0.330832658811765	1.34895988700102	0.0450357016494295	111.711135865543	332.439891550564	1597.00413802037	-10610.2911018856	-41744.3821986031
ACT	25245.11964401	25000	36960.6655112669	25000	25000	25000	25000	28871.6278263253	25000	28524.6159736966	25000	25000	25000	25000	25000	34931.5094687152	28720.7589831515	25000	25000	28957.2519983919	25000
ESS	1783.51303677355	1801	1218.1869394715	1801	1801	1801	1801	1559.48948465406	1801	1578.461215447	1801	1801	1801	1801	1801	1288.95088373792	1567.6814121247	1801	1801	1554.87820468947	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
