trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-10114.7711239781	-9620.73922477209	-494.031899206011	0.055732291789026	0.365500476276353	0.0939965242623712	0.484770707672253	0.283709670364025	0.0653256231962569	0.41384311604229	0.237121590397426	2.31886470487656	2.64189367198043	1.67501878004796	0.662490609976018	0.00698508291214338	17.6852841874589	63.0807118297887	424.221891142752	-4601.58792596579	-5019.15129880631
stderr.of.mean	0.242831069951807	0.203439723308871	0.133273801999432	0.000172875792221296	0.00033072215055351	0.000229435945296741	0.000366128879666699	0.000302959506428232	0.000158651463294478	0.000352324455217548	0.000339391827925905	0.00619864587871109	0.00498933986671475	0.000915454633524683	0.000457727316762345	5.99974626819325e-06	0.0405526518359628	0.0471961590560567	0.311817603627411	0.171823649438908	0.151501488653805
stdev	9.588603640597	8.31763991249487	4.83943739489087	0.00733449756709335	0.0140313503553668	0.00973414126385364	0.015533530418883	0.0127208324496763	0.00673101049370522	0.0146253383911964	0.0138365510941063	0.231445143588799	0.211679730537271	0.0379073707289875	0.0189536853644938	0.000239141908147013	1.71873680641408	2.00236313786307	10.687186678293	6.59905683371994	6.42766280729424
variance	91.9413197764701	69.1831337139276	23.4201542990681	5.37948545616982e-05	0.000196878792795051	9.47535061446581e-05	0.000241290567274365	0.000161819578212739	4.53065022663697e-05	0.000213900523057004	0.000191450146179815	0.05356685449084	0.0448083083203316	0.0014369687555849	0.000359242188896225	5.71888522321945e-08	2.95405620972246	4.00945813587283	114.215959096683	43.5475510946658	41.3148491642736
median	-10114.0139155213	-9620.38240343567	-493.989922308202	0.0554963043084732	0.365182670978812	0.0937249615233745	0.484889291723986	0.283494908018932	0.0650630010422139	0.413119656789247	0.236565258782476	2.30514734083066	2.63418582293447	1.67359903910237	0.663200480448814	0.0069832007577834	17.5996206613074	62.993298336309	423.953328465275	-4601.50139260908	-5018.68223453013
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.055253344749498	0.365231000546802	0.0934935061172063	0.484521820946671	0.283424404695863	0.0649798401428015	0.413585358724103	0.236717925536043	2.30745564603436	2.63346716935188	1.67459072831244	0.662218630389977	0.00698098761907926	17.6026618024774	63.0491067734745	424.087697266618	NaN	NaN
HPD95.lower	-10133.7625124412	-9636.34685920532	-502.786065876927	0.0426300764789675	0.338809734071503	0.0749804932729395	0.455500580299332	0.256679572070027	0.052954564508279	0.388110582661466	0.207662417687679	1.88953073685639	2.25348375445455	1.59492672928752	0.62642854308889	0.00651578912051335	14.5695128503211	59.3319828403787	404.614064488914	-4614.63552409981	-5032.48243544676
HPD95.upper	-10097.0929268412	-9603.79542461869	-483.872337951933	0.071253634591871	0.392402666820677	0.112773212854245	0.516621044074403	0.307739059999591	0.0788006360802305	0.444298100918032	0.26252121668682	2.767672286979	3.06807413023991	1.74714291382222	0.70253663535624	0.00744132935841067	21.1488150845273	67.0417327980232	446.217901904404	-4589.20289362824	-5007.28092916454
ACT	28860.9188066196	26920.5335330908	34128.1072093932	25000	25000	25000	25000	25524.1027378748	25000	26114.7643521375	27074.4373010021	32278.2430593297	25000	26244.5245142773	26244.5245142775	28324.7945104209	25051.4081647173	25000	38307.7679434793	30508.0549732381	25000
ESS	1560.06814272569	1672.51514330706	1319.29379275999	1801	1801	1801	1801	1764.01891429422	1801	1724.12047808943	1663.00778477614	1394.90243992651	1801	1715.59595128142	1715.5959512814	1589.59670416797	1797.30415567672	1801	1175.34908498014	1475.83974263506	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
