trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-1512.91896480124	-1422.32135876703	-90.5976060342073	0.222451993654989	0.544722435818618	0.164183686224068	0.0686418843023288	0.113373990991712	0.185388875303989	0.311083506421034	0.39015362728326	4.62617096949619	3.41759139158925	1.15299028726868	0.92350485636566	0.00155853898567914	0.778971525464742	46.4532360045433	91.2375379604368	-487.892115507426	-934.429243259604
stderr.of.mean	0.692880993192601	0.136288344190237	0.69010965673401	0.000635563911607656	0.000787261652459106	0.000556454815013749	0.000357059251370459	0.00035209790154996	0.000441676030899418	0.000515812050315311	0.000581243113115931	0.0323023963399223	0.0210179153648774	0.00379607732999069	0.00189803866499535	4.82538668238376e-06	0.00459838273770094	0.0103418235218907	0.184701580440002	0.0891001566759228	0.102242261097471
stdev	21.1148557873874	5.66496345309411	20.614291469349	0.0269646889452949	0.0334006780268908	0.0236083747439391	0.0151487387379978	0.0144594948538988	0.0180486773380419	0.0218840485385728	0.0228662357315895	1.37047439853906	0.891714491244294	0.161053896462695	0.0805269482313473	0.000197913672285316	0.142779675527683	0.438766344818937	5.62100141923294	3.78019891605557	4.21889144614587
variance	445.837134922166	32.091810924892	424.949012783275	0.000727094449916508	0.00111560529265603	0.000557355358050262	0.000229484285352114	0.000209076991429927	0.000325754753652748	0.000478911580438612	0.00052286473653262	1.87820007705101	0.795154733895071	0.0259383575658163	0.00648458939145409	3.91698216774595e-08	0.0203860357437905	0.19251590534577	31.5956569550188	14.2899038449477	17.7990450343628
median	-1512.61557497315	-1422.31694359493	-90.524784669506	0.222116296131603	0.543619103092844	0.163377733308149	0.0681581266497947	0.112962640607358	0.185063583645722	0.311205123128603	0.390210592587714	4.43033203368638	3.30998156106286	1.14381664898005	0.928091675509978	0.00154834723582807	0.760513862100867	46.3269229310671	90.978052418464	-487.619870057563	-934.242831043255
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.22081510683001	0.543693964757872	0.162473832353581	0.0669703457731481	0.11245288391927	0.184509188021954	0.310311281070391	0.389484068122153	4.43642038117974	3.30761486114312	1.14175868931209	0.919904282844399	0.00154605874831457	0.766238890575903	46.4511889529765	91.065898531915	NaN	NaN
HPD95.lower	-1554.58139577064	-1433.99552096134	-129.929057024008	0.172960967102393	0.483003959157703	0.119360356525933	0.0412867908166621	0.0835631712276959	0.153063621654494	0.269335007061497	0.346149596088853	2.29073149338934	1.72432640363652	0.843834019682065	0.768764771911761	0.0011791392504118	0.538375834174501	46.0002147151281	80.9474536036182	-495.834124974131	-942.558979541432
HPD95.upper	-1473.58226784548	-1412.03016795105	-50.7403018809367	0.278588887161255	0.609904110087318	0.210602164085797	0.0998345604753248	0.140412142505279	0.223650290961478	0.352554374876267	0.436076702364885	7.25594067426464	5.09768080813767	1.46247045617648	1.07808299015897	0.00193151410725844	1.08142092152457	47.3122370973582	102.764848418449	-481.027897544504	-926.765746813629
ACT	48456.6556320565	26045.6730931183	50432.647129403	25000	25000	25000	25000	26682.8989283515	26948.1701321324	25000	29076.2682774484	25000	25000	25000	25000	26750.0764692736	46675.5915364725	25000	48587.6856473401	25000	26428.7467023745
ESS	929.18092288263	1728.69404599478	892.774870303203	1801	1801	1801	1801	1687.41035675698	1670.79990141198	1801	1548.5137078241	1801	1801	1801	1801	1683.17275846736	964.636944447019	1801	926.67513177724	1801	1703.63735015685
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
