trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-5448.35984246167	-4848.75439496516	-599.605447496515	0.355822783672946	0.417599600693455	0.158707254936495	0.0678703606971043	0.274791729100262	0.116099400400552	0.518501424168825	0.0906074463303609	3.1132369125192	5.99177377016988	2.45364271260848	0.273178643695753	0.00175516428340313	39.6916438994938	101.160600928805	738.527707367387	-3424.46400609042	-1424.29038887474
stderr.of.mean	0.337273862617495	0.190311734533616	0.300589394495998	0.000418360716545262	0.000455591859312227	0.000312859175505815	0.000178876287977138	0.000435590326740223	0.000349294679699326	0.000505539137487501	0.000292422240468848	0.00663814008286962	0.030203640372339	0.00108038669205404	0.000540193346027017	3.00684830683206e-06	0.131281196355033	0.211090050206241	1.1660155901649	0.18912025659501	0.096176769605973
stdev	11.5879890423658	8.07424183566035	9.60031393555708	0.0172351232148144	0.0193291226074938	0.0119409634610416	0.00743548155767245	0.0184805295795023	0.0146849783399949	0.0214482058264475	0.0124064230377452	0.281632388562002	1.28143173767618	0.0434687304419502	0.0217343652209751	0.000111086791130274	4.42004590705463	7.96572460774294	38.5060425096351	7.33510705100607	3.92008231027043
variance	134.28149004599	65.1933812207278	92.1660276612515	0.000297049472229833	0.000373614980775528	0.000142586608377931	5.52863859944871e-05	0.000341529973538861	0.000215648588846121	0.000460025533173657	0.000153919332591496	0.0793168022871385	1.6420672983238	0.00188953052623493	0.000472382631558731	1.23402751636211e-08	19.5368058204704	63.4527685264014	1482.71530975383	53.8037954497189	15.3670453192952
median	-5447.93860557295	-4848.55694058303	-599.580844465974	0.355414366121908	0.41741166528907	0.159053532455497	0.0675937603288531	0.274922657211153	0.115718146848242	0.518310039077292	0.0903009219139903	3.10313366004605	5.83073286402159	2.45250120237807	0.273749398810957	0.00175113241968051	39.3887574188543	100.57881824508	736.736437306431	-3424.3312459893	-1424.20243157109
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.355405404186593	0.417151642362428	0.158255821335669	0.0674643727900426	0.274167839004831	0.115161374100755	0.518057435977942	0.0897604104840883	3.10056296761275	5.8614911461567	2.45325777133198	0.272307018714693	0.00175164960603694	39.4487708557922	100.850449262122	737.531820710687	NaN	NaN
HPD95.lower	-5471.04986064322	-4864.4575875234	-618.648972095246	0.323712411686914	0.38069798918109	0.136287806008518	0.0541970528473353	0.238049818940439	0.0882649627568658	0.478403555253225	0.0682372905827365	2.56212695928905	3.85464607924042	2.37315645916209	0.227294236432128	0.00155080252872935	31.8728375239538	85.3706140977394	666.934142299804	-3439.72104073397	-1431.97475466161
HPD95.upper	-5425.70710873486	-4833.00395404232	-582.014081450498	0.39079570164052	0.45498822427616	0.181505193686236	0.082694877736197	0.310502840970979	0.144454162954905	0.561582416715067	0.115469686980405	3.67160598671957	8.47615176004253	2.54541152713573	0.313421770418947	0.00198381428913154	48.7979754912324	116.508700565768	810.730562009549	-3411.48999749616	-1416.90005492358
ACT	38120.7644222338	25000	44115.2573460551	26514.6190014627	25000	30890.9620410278	26043.5226090958	25000	25459.490051941	25000	25000	25000	25000	27798.2156179268	27798.2156179267	32969.3643251565	39697.5652516446	31600.7456572027	41263.2396503501	29914.0740025094	27087.0917871472
ESS	1181.11482501488	1801	1020.62195051496	1698.11981826011	1801	1457.54605959504	1728.8367889325	1801	1768.49575180581	1801	1801	1801	1801	1619.70827979922	1619.70827979922	1365.66175665221	1134.20054138294	1424.80815131454	1091.16492988737	1505.14436770541	1662.23086456865
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
