trace	total.br.len	tree.height
mean	1081.70378433285	110.475818124255
stderr.of.mean	0.889961103292309	0.151734681645053
stdev	29.2972377132085	6.25264795605595
variance	858.328137624246	39.0956064623707
median	1080.48536424515	110.071026401409
mode	numeric	numeric
geometric.mean	1081.30822444897	110.300900957454
HPD95.lower	1024.79646902751	98.5983695238861
HPD95.upper	1139.30006892706	123.087703305537
ACT	NA	NA
ESS	1084.30794509378	1699.02426169035
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
