trace	total.br.len	tree.height
mean	357.139731903254	64.0670663072398
stderr.of.mean	0.25339855106662	0.0507019354982678
stdev	9.11732056315035	2.15110061264644
variance	83.1255342512441	4.62723384572787
median	356.647405457085	63.9671813025725
mode	numeric	numeric
geometric.mean	357.023929468144	64.0311863776785
HPD95.lower	338.718680921094	60.0645632134477
HPD95.upper	374.684216629498	68.3645877618187
ACT	NA	NA
ESS	1295.29156321616	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
