trace	total.br.len	tree.height
mean	294.394021907777	49.3618487360851
stderr.of.mean	0.405133049204936	0.0436820852885741
stdev	13.3615677384836	1.70933092043305
variance	178.531492430087	2.9218121955485
median	293.812749539193	49.1270727310828
mode	numeric	numeric
geometric.mean	294.092826186704	49.332760443336
HPD95.lower	267.415515843065	46.4207379198825
HPD95.upper	320.350264238407	52.7161100648321
ACT	NA	NA
ESS	1088.33057905794	1532.09930048656
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
