fn	fn2	mu	Theta
RSV2_37	extra10/RSV2-e_0	114.740860063917	521.488781304279
RSV2_41	extra10/RSV2-e_1	194.001762547775	414.336866816906
RSV2_63	extra10/RSV2-e_2	133.340824239648	304.479163620849
RSV2_67	extra10/RSV2-e_3	923.161610752993	179.785724355288
