trace	total.br.len	tree.height
mean	4748.6015170572	454.69907109132
stderr.of.mean	8.10902021451014	1.22663228019664
stdev	214.863031963999	41.371730456688
variance	46166.1225047625	1711.62008098084
median	4739.93767174266	452.165324406746
mode	numeric	numeric
geometric.mean	4743.7684347579	452.863241295674
HPD95.lower	4336.04813162556	377.018779889736
HPD95.upper	5182.01723076716	531.966895751463
ACT	NA	NA
ESS	702.470313034396	1138.20355025823
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
