trace	total.br.len	tree.height
mean	6877.11494446533	897.664978012583
stderr.of.mean	16.2337127913868	3.02292037715959
stdev	399.882677451263	120.565615857718
variance	159906.155725591	14536.0677271508
median	6835.56867528597	884.928835457463
mode	numeric	numeric
geometric.mean	6865.62506634902	889.890308812181
HPD95.lower	6139.08170784952	686.309774748437
HPD95.upper	7678.09521836368	1145.08346820187
ACT	NA	NA
ESS	607.114783338681	1591.6034185123
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
