trace	total.br.len	tree.height
mean	136.358790674044	46.6837707600917
stderr.of.mean	0.11203577473669	0.0112137831209888
stdev	3.940462389574	0.475760451836547
variance	15.5272438436472	0.226348007531715
median	136.182085494288	46.6006987507886
mode	numeric	numeric
geometric.mean	136.301997560225	46.6813619952932
HPD95.lower	129.066862329652	46.0009340048973
HPD95.upper	144.430073472411	47.5905179345172
ACT	NA	NA
ESS	1237.719609719	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
