trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-31655.6166664814	-31095.8882847771	-559.72838170431	0.279954271297023	0.0667373927006342	0.283718961517658	0.369589374484681	0.527926814862446	0.161148791447545	0.271400480713951	0.0395239129760563	2.70103181205483	3.75401091281506	2.90716830631004	0.0464158468449822	0.0717303555952942	28.2519756878817	96.5528946120655	643.808689908349	-26509.8431061943	-4586.04517858276
stderr.of.mean	0.243496879222609	0.200179607859616	0.135139825466057	9.23173418767582e-05	4.77214451697032e-05	9.70517763470144e-05	0.000120752750253417	0.000342269082105247	0.000318861472968031	0.000288910318571438	0.000133529056503821	0.00213701846919692	0.00890670923147495	0.000102001182360968	5.1000591180483e-05	5.8321468354932e-05	0.0660801219138312	0.145464418717035	0.577395766661148	0.183678914125895	0.119565950641088
stdev	9.5881408104878	8.49290017973486	4.6287728131029	0.00391669250330236	0.00202464913680523	0.00404795562239667	0.00488501131243675	0.0145212450958935	0.0128039212422426	0.0122574248334194	0.00566515720610475	0.0887572101624495	0.377879611423197	0.0043275429963583	0.00216377149817911	0.00197568185194816	2.68381345487655	6.13723009322993	22.5304157100908	7.79283514176581	5.07275288700735
variance	91.9324442017416	72.1293534629404	21.4255377553205	1.53404801654249e-05	4.09920412716614e-06	1.63859447208928e-05	2.3863335522635e-05	0.000210866559135011	0.000163940399177552	0.000150244463546927	3.20940061698806e-05	0.00787784235582122	0.142793000729347	1.87276283853298e-05	4.68190709633227e-06	3.90331878011732e-06	7.20285466057638	37.6655932172471	507.619632069506	60.7282795467402	25.7328218526414
median	-31655.1969118204	-31095.6144230926	-559.675336517914	0.279983790187979	0.0667281980894876	0.283605559899873	0.369622066118504	0.527878528372524	0.160565765174861	0.27110307715495	0.0390866508458277	2.70135492188568	3.72180819855017	2.90706240245549	0.0464687987722565	0.0717425248963484	28.1347946404104	96.3908011464877	643.244308043345	-26509.3477606476	-4585.80176418215
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.279926881950324	0.0667066537696624	0.28369011674425	0.369557099924269	0.527727395445172	0.160641202648845	0.271123680047684	0.0391228146488241	2.6995755027897	3.73523358578024	2.90716508721745	0.0463652689051936	0.0717031212258583	28.1259190884624	96.3587449425272	643.415909084159	NaN	NaN
HPD95.lower	-31674.247231096	-31112.0777593543	-569.068955118894	0.271988831515208	0.0626289119509298	0.275633421243288	0.359534461035283	0.499420073530586	0.13766646086021	0.24701980315434	0.0289215052279143	2.52581233567063	3.04960890116442	2.89940384983341	0.0417814887888087	0.068013308963082	23.3132379380495	85.7156911607371	603.073638756506	-26525.1186553663	-4596.27854806358
HPD95.upper	-31637.0013379851	-31078.9217714362	-551.083083783726	0.287468816603034	0.0707676554128894	0.291345915833836	0.378699079398223	0.555487956922652	0.186417978390299	0.295494455968986	0.0507977497426725	2.87042549799538	4.52560269579689	2.91643702242238	0.0502980750832939	0.0756561224756158	33.6908712117792	108.943785500431	689.930470827622	-26494.5234006697	-4576.75738330835
ACT	29022.2027521036	25000	38357.2405486598	25000	25000	25867.1077282747	27496.3656308633	25000	27908.1139443565	25000	25000	26086.850242147	25000	25000	25000	39213.4684813549	27280.3161606349	25280.2357496748	29554.3328763654	25000	25000
ESS	1551.39843741656	1801	1173.83313700269	1801	1801	1740.62753644407	1637.48913599918	1801	1613.33009066006	1801	1801	1725.96536500431	1801	1801	1801	1148.20243512528	1650.45741166924	1781.03560606942	1523.46527963778	1801	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
