trace	total.br.len	tree.height
mean	225.125456170752	48.0129694083801
stderr.of.mean	0.217032739378935	0.0287804958440785
stdev	7.54576782439518	1.19764518910984
variance	56.9386120596776	1.43435399899795
median	224.651048755831	47.8353490141188
mode	numeric	numeric
geometric.mean	224.999725855741	47.9982011976873
HPD95.lower	212.013020085633	46.0452746215222
HPD95.upper	240.947830397865	50.183223753451
ACT	NA	NA
ESS	1209.47727874416	1732.61131601667
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
