trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-6998.62429109654	-6448.69818187052	-549.926109226017	0.403612519143582	0.149925295228627	0.295810407594673	0.150651778033119	0.386570644021709	0.0407180987828745	0.441912531482786	0.130798725712631	4.29938848680372	1.90651470640353	0.250787196642249	1.37460640167887	0.00323213559089092	27.2227949136124	71.5448893406071	529.857369295856	-902.960134214603	-5545.73804765592
stderr.of.mean	0.290016308295091	0.203487686515446	0.209448712617979	0.000666072021628035	0.00050771430906012	0.00061433209326991	0.000549072873070902	0.000322144169906516	0.000126737224707856	0.000332982483317225	0.000244768445506505	0.0231197179691531	0.003978960135916	0.000622735232880741	0.000311367616440372	4.11518045627213e-06	0.0734247053716569	0.0803017341640064	0.574981764391395	0.0673462645208538	0.195743577373167
stdev	11.0310559690337	8.30375703700258	7.42974610262598	0.0282590382341453	0.0215404905263607	0.0257447487761208	0.0215539996493521	0.013509164209229	0.00537700423139651	0.0136667425970291	0.0103846440557195	0.980886409935124	0.164712493019138	0.026420414286	0.0132102071430001	0.000155527809124034	2.93395424635885	3.28521109225222	20.0118761917379	2.8572595788815	8.03633928039423
variance	121.684195791953	68.9523809295699	55.2011271494859	0.000798573241918883	0.000463992732116234	0.000662792089545571	0.00046457490088427	0.000182497517631914	2.8912174504456e-05	0.000186779853213448	0.00010784083216399	0.962138149195416	0.0271302053565795	0.000698038291043871	0.00017450957276097	2.4188899410922e-08	8.60808751972715	10.792611920657	400.475188713447	8.1639323011101	64.5827490296073
median	-6998.30930439681	-6448.38057429084	-549.7421890163	0.403179819056541	0.148635342570824	0.295284658033525	0.15001210942858	0.386696507356643	0.0403857044033561	0.442062800274015	0.13064508024279	4.17553183109292	1.90224968768123	0.248842655363867	1.37557867231805	0.00323171777871565	26.9606307992225	71.3653850312354	528.86594353795	-902.809403486954	-5545.32833300164
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.402621735578045	0.148378007263357	0.294684863773037	0.149100858810003	0.386334580841451	0.0403655627095989	0.441700904418326	0.130388728131332	4.19200487979901	1.89944373766551	0.249410047987661	1.37454282066575	0.00322839895988513	27.0674611505358	71.4700715096489	529.481498003737	NaN	NaN
HPD95.lower	-7019.97788449771	-6465.51450340808	-564.422062252524	0.345979943310486	0.111317888398056	0.248099892635591	0.108727722532188	0.359463741151659	0.0288711276642273	0.414038984000832	0.111391975989254	2.56910992925964	1.55740857611758	0.203333636936103	1.34751126234967	0.00291584225260901	21.7731161000249	64.7557332029613	494.142895319112	-909.150792341584	-5561.35701975579
HPD95.upper	-6977.18256709036	-6433.323102485	-535.576625818845	0.45672901702837	0.19529428196562	0.346095469814562	0.193269320749004	0.412166463270451	0.0502153454215395	0.467210755538848	0.151640194018602	6.24187191074293	2.2069097119828	0.304977475300627	1.39833318153193	0.00351074179234394	33.1384989357768	77.5071642116085	571.240612293555	-898.172584080104	-5530.1176923056
ACT	31104.4870342434	27023.3621396787	35761.8374375857	25000	25000	25623.678168648	29202.2700415928	25589.1564908174	25000	26713.1514080372	25000	25000	26260.226934884	25000	25000	31504.6050791953	28183.1888578713	26886.5864455417	37148.810088061	25000	26697.5184159039
ESS	1447.54034845298	1666.15093145235	1259.02367512802	1801	1801	1757.16381167676	1541.83219098621	1759.53435652156	1801	1685.4993749054	1801	1801	1714.57010297915	1801	1801	1429.15614675434	1597.58358882178	1674.62686612141	1212.01728650981	1801	1686.4863354932
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
