trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-6913.68310633836	-6308.54279995154	-605.140306386822	0.115545808009252	0.240123964221146	0.370850512399176	0.273479715370421	0.0670452643295246	0.452488373961366	0.237387094412499	0.243079267296615	4.37937990436009	1.89157662085202	0.0933569935387307	1.45332150323063	0.00222152392416172	42.01799852846	98.7057957526573	763.007501796532	-531.67447111146	-5776.86832884008
stderr.of.mean	0.317746559550844	0.211560928773763	0.251468946982162	0.000469749994870065	0.000634630666203605	0.000746963037957914	0.000685761433331122	0.00014523278909932	0.000333533662216267	0.000308144859047421	0.000275282107544014	0.0314663556528879	0.00334028039347989	0.000402470459882029	0.000201235229941008	3.54615313926108e-06	0.125770829564595	0.171261882947127	1.1320624911951	0.0503829604611223	0.202514648753277
stdev	11.0091480347853	8.47177657458571	7.90630989776028	0.0199298013345108	0.0269250947021822	0.0316909528755644	0.0290943890972026	0.00616170445048534	0.0141506326746862	0.0130734771476999	0.0116156195066479	1.33500420166387	0.141517240798506	0.0167489624646097	0.00837448123230482	0.00012148334586359	4.49200674780168	6.30746085029132	34.8192061542266	2.13756765002717	8.24014554118634
variance	121.201340451816	71.7709983296991	62.5097361994222	0.000397196981233069	0.000724960724721479	0.00100431649416125	0.000846483476939424	3.79666017351309e-05	0.000200240405093897	0.000170915804731431	0.000134922616523219	1.78223621846018	0.0200271294432223	0.000280527743640906	7.01319359102257e-05	1.47582033222127e-08	20.1781246222958	39.7840623779577	1212.37711721053	4.56919545844268	67.8999985399332
median	-6913.52919846076	-6308.37134644426	-605.221799992137	0.114364289673068	0.239427476523125	0.370759767013537	0.273019435962806	0.0667097861407151	0.452686981576505	0.237068737868235	0.242564835030446	4.16930234681284	1.88446106187888	0.0916600921939348	1.45416995390303	0.00221829725228781	41.9397233591168	98.1391153765769	760.890631490049	-531.531447486004	-5776.55353985551
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.113813811826469	0.238615486161517	0.36949325922454	0.271919594882489	0.0667637681659937	0.452266826756808	0.237027493111525	0.242802144841191	4.18824555414061	1.88632130545472	0.0918954821390645	1.4532973347612	0.00221820232436996	41.7806352624793	98.5070246020176	762.219704597984	NaN	NaN
HPD95.lower	-6935.00960025728	-6324.14283379363	-621.230971442848	0.0790002619369299	0.189958748993718	0.310721319127445	0.215897010048061	0.0548144631213494	0.423520292034733	0.213158083689161	0.22221072067123	2.12863293507651	1.63436833890844	0.0633265438748301	1.4362500818483	0.00199124068631871	33.881790944937	86.8983256783659	698.099914592141	-535.79017879138	-5793.33111556941
HPD95.upper	-6892.39948807524	-6291.58793396999	-591.094423465995	0.155357246762276	0.292491279685792	0.433825975679484	0.327496765805453	0.0790012082285587	0.478480303417459	0.263840618315338	0.266945225527003	7.01339628665814	2.17376879224374	0.127499836303383	1.46833672806258	0.00246982408789125	51.0557421272454	111.34172794414	830.317060806693	-527.613405754697	-5761.60875457265
ACT	37485.7902197209	28063.0146089254	45523.2689027736	25000	25000	25000	25000	25000	25000	25000	25274.5594355872	25000	25070.2995792037	25983.9146536196	25983.9146536184	38343.6863491237	35276.9825861975	33176.0503708181	47568.0612579175	25000	27180.378545749
ESS	1201.12180471822	1604.42492110879	989.054632613537	1801	1801	1801	1801	1801	1801	1801	1781.43560186468	1801	1795.94981933718	1732.80279743098	1732.80279743107	1174.24807802886	1276.3279821335	1357.15371470512	946.538471599066	1801	1656.52586200062
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
