trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-2953.84244770477	-2550.39548884505	-403.446958859718	0.0302074255213601	0.275019736105888	0.485852429555151	0.208920408817602	0.302637152944639	0.408172935101333	0.153770237428913	0.135419674525119	1.68286315128565	4.31556507766057	2.11262895615266	0.443685521923674	0.00150962184062483	8.76573697312508	51.8949987171167	284.399588702356	-1439.36793662252	-1111.02755222254
stderr.of.mean	0.357258251577304	0.182193804409795	0.323117617912482	0.00018468735772477	0.000530819001989614	0.000647842142038863	0.000530330408636999	0.000498429352409239	0.000584642789795751	0.000386091857934026	0.000352410902465847	0.00665598143990491	0.0228322519237682	0.00198863393325395	0.000994316966626972	3.38197561767296e-06	0.0286436074055501	0.0510789155949858	0.398894463750145	0.166087377111576	0.096022447775965
stdev	13.2431269741584	7.5682363735271	11.8247755046991	0.00772373776428532	0.0225207394779483	0.0269404263155118	0.0201977692909094	0.0211465632385003	0.0228109270122256	0.0161047812533688	0.0149515260265255	0.27307833554494	0.959581347836743	0.0843705793499384	0.0421852896749691	0.000122894531460296	1.10191069287372	2.16709452114394	13.7576060319969	6.82502980528928	4.07388680942458
variance	175.380412053682	57.2782018055786	139.825315736532	5.96561250514472e-05	0.000507183706633621	0.00072578657006152	0.000407949884328805	0.000447177136799891	0.000520338391157082	0.000259363979218858	0.00022354813052187	0.074571777343995	0.92079636311618	0.00711839465984425	0.00177959866496106	1.51030658628456e-08	1.21420717506945	4.69629866357209	189.271723731638	46.5810318430871	16.5965537360035
median	-2953.24575194826	-2550.08685039114	-403.344977882779	0.0293696958321437	0.275110270431451	0.486040116483401	0.208633467957234	0.302175503048418	0.407887126877198	0.153221100789046	0.135115431338973	1.67114362792605	4.19593148323378	2.11047870896954	0.44476064551523	0.00150380724939429	8.70422272191589	51.691337394873	283.720591893677	-1438.96988955916	-1110.81520094629
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0292374693226415	0.274093867033366	0.48510394970692	0.207945245773407	0.301895165675164	0.407532725080766	0.152930590013208	0.134594983277249	1.66093561365831	4.21234358831551	2.11094378563106	0.44165216752035	0.00150466069357609	8.69736545181901	51.8503674037704	284.068288065681	NaN	NaN
HPD95.lower	-2980.05532728728	-2565.01059290511	-426.597524590027	0.0167405985310582	0.228717211311605	0.432556054907927	0.170792681792735	0.262067719052627	0.36427888634124	0.123168172459659	0.105563064335001	1.16255730824107	2.55404168984588	1.94054837772097	0.364713542925831	0.00128537337555244	6.83584580741336	47.9942479723513	257.292486289085	-1452.75565046808	-1119.16105148691
HPD95.upper	-2928.36114776519	-2535.63187510423	-380.375142672023	0.0457891283636353	0.315439776298316	0.535353824499261	0.250624444338303	0.345060113823608	0.454104591982578	0.185916227678956	0.163473136596617	2.19111265730685	6.24710108222032	2.27057291414834	0.529725811139514	0.00175656134891583	11.0960482608163	56.1648036255822	310.490008773351	-1426.97321103474	-1103.21607422674
ACT	32748.8331476739	26078.9567115532	33600.6630875626	25729.5194682091	25000	26022.0701167119	31024.0595341689	25000	29560.2229986941	25863.3040492425	25000	26733.885894566	25476.8822458612	25000	25000	34079.1071395954	30407.1005319256	25000	37830.5504031338	26648.7307251462	25000
ESS	1374.85814523435	1726.48777702267	1340.00331727579	1749.93551883594	1801	1730.26203519005	1451.29298602625	1801	1523.16171640482	1740.88352803936	1801	1684.19212147351	1767.28846039685	1801	1801	1321.19071710323	1480.73966975991	1801	1190.17565222287	1689.57390370242	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
