trace	total.br.len	tree.height
mean	594.333256088826	120.930809825125
stderr.of.mean	0.870407931151699	0.218424159032926
stdev	26.0694831477447	8.0086318736415
variance	679.617951590545	64.1381844875065
median	593.005568306129	120.675647834961
mode	numeric	numeric
geometric.mean	593.764198747361	120.666377253773
HPD95.lower	547.146517065065	106.189678609808
HPD95.upper	648.387094878365	137.013693243952
ACT	NA	NA
ESS	897.55382975694	1345.10646390986
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
