trace	RSV2_0	RSV2_1	RSV2_10	RSV2_11	RSV2_12	RSV2_13	RSV2_14	RSV2_15	RSV2_16	RSV2_17	RSV2_18	RSV2_19	RSV2_2	RSV2_20	RSV2_21	RSV2_22	RSV2_23	RSV2_24	RSV2_25	RSV2_26	RSV2_27	RSV2_28	RSV2_29	RSV2_3	RSV2_30	RSV2_31	RSV2_32	RSV2_33	RSV2_34	RSV2_35	RSV2_36	RSV2-e_0	RSV2_38	RSV2_39	RSV2_4	RSV2_40	RSV2-e_1	RSV2_42	RSV2_43	RSV2_44	RSV2_45	RSV2_46	RSV2_47	RSV2_48	RSV2_49	RSV2_5	RSV2_50	RSV2_51	RSV2_52	RSV2_53	RSV2_54	RSV2_55	RSV2_56	RSV2_57	RSV2_58	RSV2_59	RSV2_6	RSV2_60	RSV2_61	RSV2_62	RSV2-e_2	RSV2_64	RSV2_65	RSV2_66	RSV2-e_3	RSV2_68	RSV2_69	RSV2_7	RSV2_70	RSV2_71	RSV2_72	RSV2_73	RSV2_74	RSV2_75	RSV2_76	RSV2_77	RSV2_78	RSV2_79	RSV2_8	RSV2_80	RSV2_81	RSV2_82	RSV2_83	RSV2_84	RSV2_85	RSV2_86	RSV2_87	RSV2_88	RSV2_89	RSV2_9	RSV2_90	RSV2_91	RSV2_92	RSV2_93	RSV2_94	RSV2_95	RSV2_96	RSV2_97	RSV2_98	RSV2_99
mean	497.20166853409	112.684385306454	763.89431240122	336.144993476894	6249.77738385725	483.323433436355	385.28492350455	332.922165850141	1801.89483817632	2586.60745267263	148.054212135545	331.556671624275	274.782381258927	1081.70378433285	11950.8343148295	290.358800591935	6877.11494446533	721.395531512757	468.414593623858	484.105226290998	778.574694438113	95.5049819376471	1314.16042767785	2696.40163936255	297.268538771003	529.488771313381	108.898335392634	186.403824931201	170.916279704169	216.712075736426	357.139731903254	458.098281353026	2092.85380524882	1567.64108217006	297.79955520333	412.834919901269	435.990239009688	281.599827588173	1023.64642187615	345.247325403476	147.086891350341	216.921180574493	517.053218962722	7641.40317392139	91.9918614755543	758.834184727691	521.20177218318	138.573140398438	339.854817393105	18594.5135558823	969.780387228362	4204.56034752873	314.262505813354	210.856084799216	1052.46687594537	117.186219504723	643.724755546228	389.216569164833	55.6573763589625	896.692853026043	365.940154713346	132.021259473421	1041.14193687681	161.499840310528	901.043804417534	366.639624577076	149.135482044987	1145.92584114478	955.89047840026	93.3336084920237	64.6456443161203	955.074161946285	491.424468033404	201.979173613498	1986.06575654413	2454.1347521486	163.522624781677	1068.31027297494	100.188495977068	440.369484716802	114.975098567858	571.565616452504	1661.79823583565	220.570387893484	285.165899838947	158.884513005255	4136.81590766637	310.894224446402	1187.15752609139	222.990657269175	200.280887265103	89.8600909812081	75.8531016917128	884.251002928673	26510.8312267242	801.550495341096	943.653928889605	282.309849990319	464.884039519454	19245.7552017348
HPD95.lower	470.668763117998	105.724934481367	727.907123659121	303.499405467956	5493.5762807002	459.233490429544	368.334744573146	320.63218265128	1660.90448441569	2292.53213052567	144.003063661666	301.38136824348	251.738544100785	1024.79646902751	8174.84971964362	282.481856860391	6139.08170784952	692.949974819592	420.417475330895	420.351789599692	693.700862059191	86.847011922118	1246.00211019742	2508.12623509529	283.060935465111	492.217481644962	105.317516460621	176.62382475127	164.773238907496	207.883732699874	338.718680921094	443.165948046301	1926.61626170188	1477.1922896116	227.540495757212	396.417823651192	416.512226042689	268.992167934667	844.712860072947	329.345998530453	131.346683705803	206.753158315966	475.960180067745	5712.53894175728	81.8717539378042	634.826954264666	499.069373897468	129.677172730603	325.499518102554	11323.8369479543	898.4477903662	2795.57463944626	298.472359398231	192.88197762205	963.679356411164	106.907163314616	604.627020253138	349.340362850422	52.2923367938879	830.178101737966	345.508721244364	125.614398068051	968.760746088004	149.0352879999	837.741380371868	347.937586563901	144.048915451503	1066.87330704649	882.153818811683	89.3158890117779	60.2912374513806	766.557077579776	448.15431460716	188.33213995697	1626.26655243238	2000.03690718207	155.874250333146	962.688650018446	91.4694152866189	425.788613418839	110.438723126414	542.58024712424	1547.02629639689	207.316057761795	265.97504461955	153.58761344349	3335.81042813586	299.267974923113	1083.79830984542	205.503728892051	190.700122294846	84.7560508361954	73.7300322470504	742.28223313047	18815.9032785588	745.462381708107	886.868064952184	264.986091722854	386.235443434433	13559.6782274838
HPD95.upper	526.884274346443	118.970381279254	800.731227470613	374.419599731673	6993.11802421328	509.657218843293	402.357490499087	344.229454137138	1945.54366294026	2922.9245162536	152.278791994354	357.996427920426	300.478160728754	1139.30006892706	17246.2846929517	297.848312889087	7678.09521836368	754.20475670879	515.104016091964	554.64951904656	876.550924840995	104.354281600461	1395.03381772395	2902.83710218076	314.245334372812	567.103558443144	112.451780113085	196.998729603105	178.632233051448	227.129183365822	374.684216629498	472.864107678862	2260.56925102228	1659.84471997985	371.40972253136	428.665680842853	455.860916805693	294.911000786993	1218.10419922766	363.696760821502	165.319929812578	227.692540763818	564.287793284526	9796.10060142083	101.973260113399	916.504835742167	542.134593417162	148.793552577764	354.647276550145	26942.311420432	1057.4418941362	6090.06886976273	331.857455696748	230.649666929093	1149.62788713869	127.25593216971	684.200816868448	431.508804277077	59.4688308568283	964.852451368534	390.739271534384	139.787896602664	1122.14973798107	175.987559214327	965.813406439427	384.321058529918	154.635058240764	1217.2599429993	1037.96541405189	97.1558907628858	69.7552756640449	1211.14533451805	541.00503368485	217.422032600405	2511.71818324634	3011.3837225495	170.840290039753	1189.39502716929	108.565101940473	455.364873243114	119.184820693518	600.202688684916	1802.84275416947	232.741497948434	305.865942363339	165.051522389201	5310.65999552059	322.38518872642	1302.16007712904	240.010109724622	210.263840126027	95.2455176407337	78.3433696285613	1096.84001668795	37302.0863946693	854.517442661423	1003.39369366644	298.864866849827	540.009513807249	27257.1529558633
ESS	1163.49063105361	950.135479657202	922.067314831335	1123.83217231014	389.869936703696	1512.33906229937	921.789560269868	898.808394826998	648.795055292613	1330.45481172346	1244.54469209826	1042.879166828	1470.74080382864	1084.30794509378	1571.8157438256	997.493359350012	607.114783338681	1304.65967562254	1095.90840299664	1063.25189252031	1272.5155563792	1135.34985852262	1229.44766401387	507.706122919054	1352.48252260433	1029.86549107854	906.998580246218	1330.0437087261	1043.53715901831	1410.22363217007	1295.29156321616	1302.34359161757	400.0919936198	651.518141490737	636.240804983028	1067.73236475251	1071.53834194225	1174.44146213447	940.278837335494	1551.64689939852	847.533382959751	964.537438043853	1359.83039752884	310.780572229576	971.449054188838	1681.65017790459	1370.6429379277	1421.22197166032	781.440231942357	1801	1080.64750320286	1675.39365222737	1338.29659242845	1130.33952107435	961.585938312952	1390.65351478359	1209.43722341378	1050.75829730109	597.302104462453	863.853920247547	842.911405342638	1138.31850100442	804.615525950979	1175.67386507662	1096.00581466085	1570.66811734441	1280.22728931304	1127.28956265495	1072.26396142878	1213.06541654393	906.473577693056	1801	1161.29399485085	1459.02241846834	1589.29687265154	1717.86008775381	1240.05852508324	1317.75467357125	1173.92872595855	791.430671734319	1660.78483458243	1302.98086109138	663.37020299815	1305.47451044545	1132.11871291339	1152.48415877453	1801	1031.26745258615	1358.63116929539	1230.8821944442	1192.79839880614	1149.29601351561	1285.44394331285	1685.17286165661	808.494179219629	1089.83686626542	997.753629234946	977.317315554255	978.302872968252	1218.7243273777
