trace	RSV2_0	RSV2_1	RSV2_10	RSV2_11	RSV2_12	RSV2_13	RSV2_14	RSV2_15	RSV2_16	RSV2_17	RSV2_18	RSV2_19	RSV2_2	RSV2_20	RSV2_21	RSV2_22	RSV2_23	RSV2_24	RSV2_25	RSV2_26	RSV2_27	RSV2_28	RSV2_29	RSV2_3	RSV2_30	RSV2_31	RSV2_32	RSV2_33	RSV2_34	RSV2_35	RSV2_36	RSV2-e_0	RSV2_38	RSV2_39	RSV2_4	RSV2_40	RSV2-e_1	RSV2_42	RSV2_43	RSV2_44	RSV2_45	RSV2_46	RSV2_47	RSV2_48	RSV2_49	RSV2_5	RSV2_50	RSV2_51	RSV2_52	RSV2_53	RSV2_54	RSV2_55	RSV2_56	RSV2_57	RSV2_58	RSV2_59	RSV2_6	RSV2_60	RSV2_61	RSV2_62	RSV2-e_2	RSV2_64	RSV2_65	RSV2_66	RSV2-e_3	RSV2_68	RSV2_69	RSV2_7	RSV2_70	RSV2_71	RSV2_72	RSV2_73	RSV2_74	RSV2_75	RSV2_76	RSV2_77	RSV2_78	RSV2_79	RSV2_8	RSV2_80	RSV2_81	RSV2_82	RSV2_83	RSV2_84	RSV2_85	RSV2_86	RSV2_87	RSV2_88	RSV2_89	RSV2_9	RSV2_90	RSV2_91	RSV2_92	RSV2_93	RSV2_94	RSV2_95	RSV2_96	RSV2_97	RSV2_98	RSV2_99
mean	0.1141541139223	0.221473511830165	0.473644072307531	0.355559706679769	0.173232807947479	0.283715951224766	0.125991815952007	0.297744823270149	0.278552604511283	0.141266344217202	0.258847877603382	0.15711097457931	0.353838314867322	0.335936895521721	0.220409257126913	0.0681053113934316	0.105095343937502	0.130634860766846	0.158929400630632	0.298462434512505	0.302460303526698	0.160958441413273	0.390441960649444	0.315141153563829	0.359310853548961	0.125055251904601	0.0580170909036752	0.124476120979513	0.243480327940667	0.199086926509135	0.146148060877751	0.273380911558713	0.372689656014049	0.172188050658779	0.648593070404494	0.0324343620908626	0.0360550242792534	0.534334227124375	0.316298110361357	0.137248087442027	0.196069465816343	0.269022701009275	0.208991928146745	0.309326709400187	0.151321371601441	0.438709659922252	0.361246285133518	0.563427272712102	0.222661729067837	0.223287283585644	0.162693313801625	0.189077389622287	0.478139317745151	0.487941478488203	0.230801285953579	0.0787659165086026	0.120275210319043	0.331689705669014	0.138616755824814	0.293338639127594	0.38503124844416	0.251712144273395	0.0251049610720635	0.515862791882843	0.326264715279009	0.180496841166177	0.20974987880322	0.1318466673297	0.131951765630704	0.193409302355767	0.0919774867820041	0.236094404730035	0.173903792290936	0.159147471679766	0.309462717762648	0.290238694740833	0.431286533495222	0.0601658014644526	0.246294484727013	0.141321889431665	0.118800411138705	0.0103254007525686	0.109239632885415	0.40670904004004	0.206465889409328	0.321323400697803	0.156133007525901	0.0231989698380179	0.229824412377731	0.145411168875486	0.321140584008691	0.381400928840821	0.391711709741248	0.382420009380759	0.163234128020443	0.493479747143812	0.19241674682511	0.305468557020345	0.392006646390224	0.158926587036481
HPD95.lower	0.0968506852242119	0.186163984013424	0.409180015428102	0.300673647629877	0.155625091956115	0.267796899071218	0.112476899749738	0.264821117905381	0.250922984400892	0.124365603852399	0.235842863539558	0.121309012508101	0.31095398119189	0.30674170950288	0.213177131312388	0.0564236182740803	0.0991071366077302	0.120166922506991	0.119055074054909	0.241097356427096	0.253053288905088	0.1219378408155	0.367396182526599	0.291529984401639	0.324349034334667	0.10591393816596	0.0487816734344603	0.103303879021753	0.215451070956683	0.181142284220939	0.125034037374091	0.253748090040217	0.349379900188857	0.153125265896458	0.58805247027204	0.0249204248558862	0.0314065462024239	0.486852185159926	0.264980003104213	0.128418245200847	0.145326983212598	0.222392908345735	0.183100748110387	0.27971128409491	0.104673606626376	0.413706009093765	0.337029892976633	0.504549096330045	0.199871715848524	0.216584957164428	0.128717499610458	0.181391210386926	0.449959967826114	0.428606240584093	0.196101643717022	0.052674762954815	0.0870047134880626	0.286554087595462	0.0981379256000892	0.269374865045032	0.328357060375185	0.220114424035202	0.0156321364434153	0.459169775931718	0.283973034073719	0.161018904129868	0.181236965091477	0.12519607607809	0.103864874827939	0.166267778181591	0.066274246207295	0.227558308296793	0.136505952950599	0.133484542340458	0.294725652868113	0.277780483952879	0.386126142652964	0.0429894037559097	0.202115736819198	0.131242002759244	0.0948747575888879	0.00835212114905759	0.092943691485105	0.374282600451741	0.171512147279768	0.284598772012288	0.144646502161018	0.0199087593272972	0.210471703398642	0.107111187817502	0.288912634766548	0.334567743448785	0.335876553316361	0.372627994621104	0.152506369680784	0.455306669105175	0.165369044134241	0.255035065485815	0.334766559835939	0.146524610840653
HPD95.upper	0.132584955111958	0.249496364593097	0.537013105440879	0.411909678554274	0.191425199349412	0.301737225815427	0.140886126475303	0.331217149245587	0.305718224464948	0.16110098926851	0.281180928390183	0.19096172471244	0.39862925798511	0.363684185196051	0.228382382047495	0.0809629915829926	0.110828329260094	0.141690292085715	0.193684339113603	0.352510921837555	0.360150956540755	0.203452263031585	0.415361119254235	0.341193676597241	0.394476733746321	0.144626555051772	0.0679967940070691	0.148334672189981	0.268834647320983	0.216495486511839	0.166993704096291	0.294077114823833	0.396090633302042	0.190986222651255	0.709037899363756	0.0390792841971255	0.0403201872538078	0.583006109730208	0.361340424933363	0.146041162650234	0.243075992700463	0.315060768118982	0.237308361243305	0.336651644013719	0.195685711087494	0.461750519520092	0.385383540247455	0.622773816580218	0.246794065422667	0.229672471523517	0.197028402573776	0.195570440557048	0.505543297682908	0.552965395119762	0.267438284033517	0.10933890522487	0.157718369537703	0.379142198926639	0.175692283455658	0.3225708556205	0.434825802706433	0.285761558634844	0.0340679300493884	0.580614904292595	0.378532073125901	0.201888396274884	0.237219154366516	0.139197414645597	0.156715849896387	0.223933836578657	0.119321074781841	0.243745366144058	0.206225114337607	0.187043439342258	0.324335416215216	0.300912649344333	0.483389902814942	0.0801743195059467	0.292641585549113	0.152609871830887	0.142326192121549	0.0121720386995804	0.124901901074959	0.443194981512338	0.243876439278844	0.359881156197123	0.169933379810453	0.0265011885595412	0.248159627703116	0.185182524432266	0.35596560472823	0.429282668865355	0.440141603209458	0.391905382223691	0.17426529246448	0.528294659416623	0.219531574301976	0.354802471891953	0.458405700679844	0.170182332408572
ESS	1540.81527174709	1228.5995980161	1707.20698609075	1801	1801	1613.50713585939	1657.49177435717	1801	1801	1469.73594140984	1616.97102510244	1801	1801	1484.10905981459	1801	1801	1801	1047.53343057324	1657.99555695333	1656.18828348437	1750.36860168364	1730.11515185176	1793.14601142857	1466.86836000312	1707.52487485033	1700.70585670423	1801	1801	1801	1750.31917179251	1801	1801	1801	1673.76338495603	1666.28293218269	1801	1759.54592804366	1670.88331025378	1343.68875731312	1750.14389261137	1422.51034715101	1801	1801	1801	1602.12246847374	1659.70583008116	1639.51464432497	1801	1801	1451.37964188736	1778.79038339544	1465.74508710878	1740.31390046647	1741.68804081236	1801	1801	1440.33402153101	1801	1724.6549324994	1730.11229465339	1801	1801	1605.35362250504	1685.2577588695	1801	1656.29688436131	1801	1801	1740.64976970997	1801	1801	1801	1486.90894492922	1801	1801	1622.89714933644	1732.08181030574	1801	1801	1798.28256762586	1646.89807489999	1801	1433.42240347101	1801	1678.82458219885	1801	1801	1801	1801	1645.61602005137	1801	1801	1801	1747.35509756415	1801	1679.1658019189	1780.24146022434	1801	1801	1801
