trace	total.br.len	tree.height
mean	294.330673667907	49.3182795239957
stderr.of.mean	0.410546520787863	0.0409213098289979
stdev	13.2165976241855	1.71361946545462
variance	174.678452759626	2.93649167238498
median	293.797981437547	49.0832576885172
mode	numeric	numeric
geometric.mean	294.035907560137	49.2890233015112
HPD95.lower	269.015644577127	46.3577438750313
HPD95.upper	319.597103563911	52.9388375822837
ACT	NA	NA
ESS	1036.94548786574	1754.57146714977
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
