trace	total.br.len	tree.height
mean	932.344147701694	193.214596279178
stderr.of.mean	1.52321961614008	0.422621623627175
stdev	43.0051509307833	15.4698266562356
variance	1849.44300657945	239.315536773977
median	929.448235758385	192.253805019734
mode	numeric	numeric
geometric.mean	931.36141036783	192.605959154673
HPD95.lower	852.81552194939	164.895670541812
HPD95.upper	1016.92136361949	222.923616835929
ACT	NA	NA
ESS	797.548763877857	1340.62961259487
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
