trace	total.br.len	tree.height
mean	262.357224436375	51.2605520203253
stderr.of.mean	0.197397685404712	0.0224674086339778
stdev	5.63801236783369	0.953211272945955
variance	31.7871834598457	0.908611730871248
median	261.998639326509	51.201097495012
mode	numeric	numeric
geometric.mean	262.296877087153	51.2517440825952
HPD95.lower	251.122631407958	49.4851614684644
HPD95.upper	273.004091759483	53.2232070766884
ACT	NA	NA
ESS	816.223845280279	1801
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
