trace	RSV2_0	RSV2_1	RSV2_10	RSV2_11	RSV2_12	RSV2_13	RSV2_14	RSV2_15	RSV2_16	RSV2_17	RSV2_18	RSV2_19	RSV2_2	RSV2_20	RSV2_21	RSV2_22	RSV2_23	RSV2_24	RSV2_25	RSV2_26	RSV2_27	RSV2_28	RSV2_29	RSV2_3	RSV2_30	RSV2_31	RSV2_32	RSV2_33	RSV2_34	RSV2_35	RSV2_36	RSV2_37	RSV2_38	RSV2_39	RSV2_4	RSV2_40	RSV2_41	RSV2_42	RSV2_43	RSV2_44	RSV2_45	RSV2_46	RSV2_47	RSV2_48	RSV2_49	RSV2_5	RSV2_50	RSV2_51	RSV2_52	RSV2_53	RSV2_54	RSV2_55	RSV2_56	RSV2_57	RSV2_58	RSV2_59	RSV2_6	RSV2_60	RSV2_61	RSV2_62	RSV2_63	RSV2_64	RSV2_65	RSV2_66	RSV2_67	RSV2_68	RSV2_69	RSV2_7	RSV2_70	RSV2_71	RSV2_72	RSV2_73	RSV2_74	RSV2_75	RSV2_76	RSV2_77	RSV2_78	RSV2_79	RSV2_8	RSV2_80	RSV2_81	RSV2_82	RSV2_83	RSV2_84	RSV2_85	RSV2_86	RSV2_87	RSV2_88	RSV2_89	RSV2_9	RSV2_90	RSV2_91	RSV2_92	RSV2_93	RSV2_94	RSV2_95	RSV2_96	RSV2_97	RSV2_98	RSV2_99
mean	2.16524467004714	3.36724556575451	4.07391338774599	3.19542403877507	2.17807902979455	1.03575599627852	3.07282760252185	1.36869441764328	3.99847791769539	4.40288339506283	1.85482814354153	3.4243549158549	3.07881408376465	3.44328976322488	2.12641724694925	1.96951905961215	4.18010031935045	3.23886105151465	4.31259709546523	3.09734126756569	12.3942062447155	2.61723163409685	2.67666537909612	4.07443186275318	1.27583105614424	2.03166968554118	2.59080931473836	1.94569102016555	2.09365479241967	1.33389044836613	2.237502489053	3.21619403351064	5.9282767247243	1.91314620848088	2.15781747228191	4.29012763302837	2.53347890828974	1.43847515496362	3.30546194883148	1.52483028069123	0.840335045312772	2.10483688580073	3.4111148429182	5.42928670893402	2.24617682669755	2.71269421127537	2.0091439906256	2.61673832472627	0.971846844248457	3.19931588496948	6.20233739514082	1.73766316053722	3.83051434246747	2.30743884563217	5.3761927332299	1.44788251327313	4.3675347400211	2.50176487771156	1.22532918648092	2.76660629879697	2.21790548625959	5.48503922628432	1.48635872792059	3.57760632664974	6.50772287438935	2.33262855817516	2.66564161794903	4.42556159013191	2.21597702816924	1.64967622186007	1.26857390938281	1.60171000729937	2.66069275585751	2.85917318323024	1.75312007690632	1.8210177633427	1.99862356000163	5.36473203622563	1.48696082003196	2.41191010130221	1.47837945549936	1.97008699521922	7.13529449281445	2.02481956250631	2.72794623867114	2.00537214432533	4.2372537097245	3.48375156017107	2.09333355014548	2.71084663508382	4.38949567142397	2.3781871218932	4.60868455721781	2.3286743226227	1.78915667930432	3.47570228684863	2.45732612902409	3.1379539288775	3.89918772744226	1.93312415931185
HPD95.lower	0.619642536757336	2.77643349249293	3.28056308675587	2.99697135258587	1.47162920428454	0.782569342338631	2.61298246847377	1.17987223237924	1.6976491053246	4.02151774521657	1.40904838496405	3.02691792091033	2.60232269252667	3.12907873358575	2.00030332045099	1.82308904819569	3.43870272058772	2.54973271550189	3.97729497831744	2.85483578315038	9.01018414297368	2.41939300361952	2.3288477234613	3.72821322391137	1.14724069472771	1.8185809505771	2.32794004973803	1.65955084293434	1.53895600617081	1.18599530906416	2.02915091079235	2.21237098691923	4.61671556077395	1.51395418757652	1.9338871029773	3.90241201657858	2.11115826599482	1.13446859006519	1.55304773085788	1.03887280698148	0.742088126720707	1.53709320238476	1.59887247536466	4.90576267778736	1.69834834596612	1.49792163981264	1.33064189633472	2.01566658161152	0.843787817386006	2.32423491106364	3.68593453961107	1.4611975565995	3.20768607336902	2.15191945226191	2.17080566612969	1.03507738473921	3.9313139463958	2.35225602550107	1.14164674596381	1.72408145911751	1.58580839779106	3.96437878018765	1.08733001646737	3.03251460705455	4.71558327379596	1.53842288815044	1.71701722975236	2.8306433418216	1.08446043499289	0.775528559572865	1.11548573352786	0.612445449053087	1.61638636427142	2.65901678728152	1.33630164636851	1.43878354624559	1.57404257664407	2.7041234887001	1.26811415222994	2.06776245728812	1.22616807759501	1.6118911859294	6.65152982495475	1.8711327248275	2.40771426918306	1.63381479650333	3.95637715708585	3.12608852090975	1.77538023239589	1.38967936359272	4.02132159843342	1.93964895217371	4.22796165171097	2.10224855334875	1.29194777398172	3.13004451382962	2.0889754372882	2.22526378481016	3.23356397443665	1.66424258954788
HPD95.upper	4.0264023779809	3.92277450011301	4.88741013651947	3.39647287395004	2.98492645110647	1.30978473027327	3.52067205703804	1.56849609110729	6.8792955180243	4.76138174997728	2.36063938702563	3.78248030641734	3.5810818848404	3.70332916281407	2.26160312612134	2.12005795298229	4.92320494581922	3.97966496730362	4.65382389748369	3.37830056969701	16.1384033342407	2.82822256725361	3.01927707327399	4.41971011718099	1.39833821275342	2.22060053561487	2.86322591971289	2.23952661870717	2.70064161435577	1.50507087634611	2.4465507708462	4.27714307410251	7.47697181291801	2.32235243477727	2.39594309842713	4.7018394921951	2.98342295042707	1.75313401712146	5.30683336462555	2.02428604486801	0.960649923867616	2.78429741382342	5.405028598846	6.00768250861033	2.84769164915496	4.08570327752343	2.59995961722322	3.16044353257743	1.11604802556944	4.12954856189888	9.26117822531463	2.01456999072189	4.41987014681619	2.44271964899804	9.6092736623672	1.86537091928251	4.8893552405892	2.65072067424097	1.31299485401005	3.83612542488229	2.891458424062	7.14976528888455	1.90426574724129	4.24068731857903	8.32143833541305	3.16031598980825	3.65619401508044	5.86068079725801	3.45704478088554	2.72325080167254	1.42902221571237	2.75530134386651	3.88085547061019	3.08445980197286	2.16081575627728	2.25160369144403	2.51500045674329	8.98528934826581	1.69449809243995	2.79151922201949	1.74708007867702	2.35025311684769	7.62326699573666	2.19819258851991	3.06106080887406	2.37902609619503	4.53810967344789	3.88213816580655	2.45944014714957	4.38067597996566	4.74110423075479	2.79869427516523	4.98544926661222	2.55624296048239	2.40621491375703	3.80154284359451	2.85746878427872	4.05146464688059	4.60733146399599	2.18300345803432
ESS	1664.18790882339	1684.20470008299	1801	1801	1801	1801	1801	1635.67856260213	1604.98490675787	1456.20653263038	1682.98248976091	1801	1529.88062088124	1801	1493.78546985565	1793.76815007021	1693.86881993697	1801	1801	1801	1801	1801	1656.24375721673	1801	1787.94348919891	1801	1709.17896790261	1513.38841697788	1801	1801	1636.79532886073	1801	1801	1801	1801	1609.43692803958	1801	1656.12438478185	1644.63126233542	1801	1801	1720.41112154461	1784.81312791422	1544.79595744135	1801	1692.69083526445	1801	1733.08403918826	1663.11266236583	1801	1801	1801	1801	1711.74994208744	1801	1688.48223699768	1764.55799124363	1801	1801	1767.04068277576	1777.2638502981	1801	1801	1801	1801	1801	1801	1737.81158257681	1757.40204857296	1727.32772486895	1474.07703161698	1801	1390.64872657352	1752.6301032613	1801	1801	1801	1801	1801	1657.2675362552	1801	1771.82785338535	1722.5974454553	1534.15144924825	1801	1681.12906876148	1801	1801	1762.3439491279	1801	1497.50664897935	1778.61645434143	1801	1801	1782.00708781659	1801	1801	1715.9962353303	1801	1801
