trace	total.br.len	tree.height
mean	10720.3186113325	823.065832192763
stderr.of.mean	39.2142193492595	3.06592487571521
stdev	714.089854877696	74.1669687379506
variance	509924.320839248	5500.73925177615
median	10670.0464114382	817.317312743178
mode	numeric	numeric
geometric.mean	10696.8689514071	819.788344202683
HPD95.lower	9420.85897264143	690.872714249613
HPD95.upper	12203.1004759254	979.228161631108
ACT	NA	NA
ESS	331.787423793069	585.516829239867
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
