trace	total.br.len	tree.height
mean	406.852665027448	59.9668229378017
stderr.of.mean	0.288656049011619	0.0649776039248439
stdev	9.26509997915536	2.51240855794259
variance	85.8420776237447	6.31219676202317
median	406.628495164826	59.7746826289766
mode	numeric	numeric
geometric.mean	406.747382996513	59.9149054334074
HPD95.lower	389.755783981202	55.5821023810337
HPD95.upper	425.191195243096	64.8145481320088
ACT	NA	NA
ESS	1030.8138288817	1495.87217835101
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
