trace	total.br.len	tree.height
mean	158.363060645036	49.2747912212331
stderr.of.mean	0.14810881862522	0.0219240317201067
stdev	4.67200624542593	0.871415307897253
variance	21.8276423572989	0.759364638837664
median	158.264910866424	49.2266379704828
mode	numeric	numeric
geometric.mean	158.294406807765	49.2671107381083
HPD95.lower	149.692339043736	47.6913425000205
HPD95.upper	167.578590285868	51.0559748518752
ACT	NA	NA
ESS	995.603318204373	1580.705148556
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
