trace	total.br.len	tree.height
mean	1311.78580337399	264.620528143735
stderr.of.mean	2.0296955123749	0.778418345544678
stdev	68.2142502440597	29.4451724066322
variance	4653.1839363592	867.018178056296
median	1307.82209382913	262.492343419283
mode	numeric	numeric
geometric.mean	1310.03447552081	263.036091110958
HPD95.lower	1173.07364498602	210.190419489367
HPD95.upper	1438.27383442557	320.45229906861
ACT	NA	NA
ESS	1130.13357863415	1431.67163110559
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
