trace	total.br.len	tree.height
mean	102.668493777284	46.8765483922234
stderr.of.mean	0.28145645515891	0.0207421265173368
stdev	7.19140772352406	0.835319040316746
variance	51.7163450459615	0.697757899115689
median	102.379762830146	46.6313790358198
mode	numeric	numeric
geometric.mean	102.418749971911	46.8692585661693
HPD95.lower	88.710208438115	46.0002846510805
HPD95.upper	116.64565724675	48.5559199000417
ACT	NA	NA
ESS	653.200846601924	1622.70489264073
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
