trace	total.br.len	tree.height
mean	931.757262727696	193.085451451425
stderr.of.mean	1.36416139725271	0.397678994991053
stdev	42.370390074332	15.4192575303673
variance	1795.24995505105	237.753502787789
median	929.072908791158	192.067064135851
mode	numeric	numeric
geometric.mean	930.802156525528	192.479680075122
HPD95.lower	848.651186791579	163.962467352234
HPD95.upper	1013.14435252677	223.058339620303
ACT	NA	NA
ESS	965.238763625265	1504.1909126858
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
