trace	total.br.len	tree.height
mean	17644.4261871067	2950.65624579186
stderr.of.mean	136.162336429844	45.8849581871068
stdev	4335.44262790435	1898.33785366486
variance	18796062.7798501	3603686.60665692
median	16659.3990420315	2425.51627051521
mode	numeric	numeric
geometric.mean	17184.1931025754	2481.50556141741
HPD95.lower	11814.1399166284	844.811167456841
HPD95.upper	26278.2568270963	6730.06135424254
ACT	NA	NA
ESS	1014.36496046136	1712.5674166403
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
