trace	total.br.len	tree.height
mean	72.1638202623205	46.1929303524052
stderr.of.mean	0.0512379939782458	0.00443304130555123
stdev	1.63920566260381	0.179107024639532
variance	2.6869952043124	0.032079326275226
median	72.060241180171	46.1448333939633
mode	numeric	numeric
geometric.mean	72.1452790108571	46.1925848134752
HPD95.lower	69.1911191841709	46.0000327434074
HPD95.upper	75.5891835084872	46.556597840745
ACT	NA	NA
ESS	1024.05668374292	1633.28895291132
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
