trace	total.br.len	tree.height
mean	174.966507416628	47.3241713559742
stderr.of.mean	0.274414264521307	0.0246749182003297
stdev	8.61974164600858	1.01168715260922
variance	74.2999460439347	1.02351089475454
median	174.561747917663	47.1122227710146
mode	numeric	numeric
geometric.mean	174.755784435043	47.3135384114231
HPD95.lower	159.332181273933	46.0023784628678
HPD95.upper	193.338907297362	49.3330665694662
ACT	NA	NA
ESS	987.225748943237	1681.98596809401
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
