trace	RSV2_0	RSV2_1	RSV2_10	RSV2_11	RSV2_12	RSV2_13	RSV2_14	RSV2_15	RSV2_16	RSV2_17	RSV2_18	RSV2_19	RSV2_2	RSV2_20	RSV2_21	RSV2_22	RSV2_23	RSV2_24	RSV2-e_0	RSV2_26	RSV2_27	RSV2_28	RSV2_29	RSV2_3	RSV2_30	RSV2_31	RSV2_32	RSV2_33	RSV2_34	RSV2_35	RSV2-e_1	RSV2_37	RSV2_38	RSV2_39	RSV2_4	RSV2_40	RSV2_41	RSV2_42	RSV2_43	RSV2_44	RSV2_45	RSV2_46	RSV2_47	RSV2_48	RSV2_49	RSV2_5	RSV2_50	RSV2_51	RSV2_52	RSV2_53	RSV2_54	RSV2_55	RSV2_56	RSV2_57	RSV2_58	RSV2_59	RSV2_6	RSV2_60	RSV2_61	RSV2_62	RSV2_63	RSV2_64	RSV2_65	RSV2_66	RSV2_67	RSV2_68	RSV2_69	RSV2_7	RSV2_70	RSV2_71	RSV2_72	RSV2_73	RSV2_74	RSV2_75	RSV2-e_2	RSV2_77	RSV2_78	RSV2_79	RSV2_8	RSV2_80	RSV2_81	RSV2_82	RSV2_83	RSV2_84	RSV2_85	RSV2_86	RSV2_87	RSV2_88	RSV2_89	RSV2_9	RSV2_90	RSV2_91	RSV2_92	RSV2_93	RSV2_94	RSV2_95	RSV2_96	RSV2_97	RSV2_98	RSV2_99
mean	2.82779629421058	3.67846568421511	2.39018389118061	3.92373959251951	3.29586683950908	2.17338563465155	1.62779046675657	2.04924311390429	3.32380220081913	5.75926695080164	2.8055738961427	2.07974810794057	4.22349303327516	1.10848086798971	5.00356887828904	1.71480201207002	3.05173495524842	3.59815310285336	1.06666602810211	2.36491769172244	2.61625764158654	1.9113200709619	4.02919076011896	2.3280296653794	2.52704663269262	3.01891879235414	2.54048155147706	3.73236027211118	2.77707421686217	2.29227045924703	4.4407476116206	2.47146759722788	2.83010959760183	2.36230802830456	1.41464364302008	4.04115435140136	6.16421394763592	4.818652131976	2.57064917465816	3.19830687832766	1.7084358224358	2.38662091872407	2.59998346571037	3.05411168812102	4.49938794317696	2.55822424251704	3.44200208670531	2.17552792223561	3.99554176079607	4.05394890497462	2.91637089181668	1.92963759057381	1.55154269580479	5.05964005514758	2.86896816422425	4.51970823466768	3.63714202292671	4.12417813961547	3.66307128804446	1.40178733685787	3.58805255914086	3.81326293235621	4.37269831090428	4.42091618981357	2.73987565948292	4.48744031114837	2.63309623290058	2.56003742974211	2.20022021930812	1.75687714037837	4.39986930567533	1.29976314897578	6.75001481800702	1.58876856770236	2.31300060276884	1.53686672403027	3.1345000075719	1.44558257100267	3.03110922326737	3.67300372545361	3.14456007545803	2.30891393376386	1.88173117405782	2.4038599313743	4.99718305102315	2.71495490961187	2.94687922955845	1.45490231824422	1.82006420104181	5.09447674611246	5.47382311484118	3.74948651594151	1.66909773979733	2.64307626372496	2.37457051207112	2.52610495428807	4.57838325820743	3.89162912841075	2.63409588905475	2.32214846417382
HPD95.lower	1.2336270936901	2.84836525884517	2.0287417485024	3.60972583286897	2.64965060961933	1.71726391650845	1.24065399914988	1.46681612982204	1.29652533144807	5.11539784154192	0.601024327396926	1.71681317204222	3.38836499309023	0.916211652307596	4.60187746943549	1.51331651789488	2.38894190461663	1.3987995669501	0.958649402549188	2.09836843733045	1.88727611710303	1.7879929417151	2.71254913299241	2.18030797370834	2.13788225205032	2.68864346388979	2.16012589025098	3.34309457113965	2.2343117501267	1.92819298963443	1.46648933462882	1.01146448029258	1.65212414867883	2.11941473070599	1.31590378384059	3.48608029159134	5.40776274716779	3.76054679449809	1.30843196741469	1.91177633977679	1.45898418693244	0.862408546409724	1.63969872199953	2.74316900458874	2.37415195765395	1.90048040309929	2.83370211301279	1.72029983428264	2.56162582856036	3.09277186822369	2.05477823264898	1.76840515055291	1.38356894798789	4.39621734040258	2.04690708139007	3.40010058582429	2.06056185049778	3.78128243074281	3.28238938798465	1.22014582868193	1.22552434415789	3.02623065606099	3.03158093397786	3.44412030596344	1.92998151561698	1.76813656190883	1.53163065373123	1.7140819709439	1.64850068140272	1.27240535648213	3.65170770444744	0.646668086200011	4.87885543177624	1.4494909766259	2.02742238696452	1.33044567035074	2.15113057796561	1.02543677351824	2.73608744841686	2.78361664639429	2.74162186433393	1.89027941228929	1.67785843186721	2.25865619786567	3.57631914950183	1.96505209720682	2.72356035530495	1.09421831157636	1.59652288202638	2.79103741659105	5.08463938190845	2.90385538437583	1.47649481812969	2.29452334025388	1.97096470719821	2.11366251826803	3.38950681886293	2.29932686857285	2.15082469764281	1.89274085196406
HPD95.upper	4.82518421256292	4.47265474306376	2.7142037374371	4.25955982298432	3.98039916807849	2.64770899581439	2.040384073256	2.64239374381131	6.18552098859417	6.40407680554123	5.49580693223325	2.47437429820934	5.1196607998889	1.3153140949662	5.3978242282198	1.93459437607204	3.64356491846926	6.56613934729084	1.19027889305738	2.64757363653788	3.33782136240703	2.04555787567414	5.57287485967895	2.48430954922121	2.90673609856439	3.30959591054624	2.91640929232663	4.10509365421319	3.29321436572632	2.61342861407166	7.94874069291649	4.29943239057596	4.11271534163859	2.59365290498202	1.5338614251596	4.56400963789424	6.90025109515167	5.85319089323005	4.01131561409299	4.7378381001859	2.00787743450977	4.17908194042795	3.59212553550447	3.4022679514393	6.85044423987981	3.29977721359107	4.04636171661942	2.64098014513271	5.4466194938954	5.08744627404719	3.75401877539937	2.08549185306038	1.72172327477453	5.72206465006548	3.79268558056303	5.68204480768587	5.6705094076123	4.48920154963723	4.1047613051342	1.59582132591322	6.16028133745872	4.74862729506689	5.76987249833347	5.54055858179082	3.69562119996557	7.65048325305701	3.65742411828121	3.43667715206115	2.85013299055383	2.15123157309635	5.25176633788253	2.05544626255346	8.82497746461457	1.72792616750403	2.62494179200366	1.78798676192341	4.18584046528872	1.91104473539422	3.31585822309241	4.61386450909113	3.53676800819323	2.69793029126446	2.11309446019321	2.54793845368117	6.73796745220735	3.41114640877088	3.16200272062589	1.82251521744061	2.02043199643494	7.71874256059202	5.86837505958505	4.70610342441185	1.85853194998836	3.02940530757926	2.79767219208971	2.9279726991121	5.81590747117902	5.67224067673552	3.11403046320173	2.75747002245479
ESS	1801	1715.06285254424	1650.93149587397	1287.13766308073	1801	1801	1801	1773.27952692546	1738.02558487357	1611.78115255341	1757.04891750866	1801	1459.28586860288	1762.65320111581	1801	1801	1801	1801	1801	1801	1729.53395176106	1655.69452358823	1589.48999584148	1475.05988002701	1799.33403305182	1801	1801	1801	1801	1745.27965484795	1801	1790.79854450554	1801	1718.20939496492	1593.03498247616	1801	1801	1758.89580321207	1801	1618.94248493581	1724.6829843324	1792.85473473813	1801	1801	1573.67800984955	1801	1478.18044742663	1801	1801	1801	1801	1801	1647.08830899609	1590.09351315817	1526.43220094093	1554.74797919158	1801	1801	573.692384064941	1661.98366833988	1577.24620076183	1801	1551.66638960308	1554.79989308747	1655.71009175402	1801	1801	1789.2205994048	1706.52402724624	1801	1801	1566.6500750986	1801	1543.87669361982	1801	1801	1801	1784.48895188965	1565.85372833407	1694.54065379928	1801	1801	1784.85324155504	1801	1801	1801	1727.18548369762	1801	1711.47780283006	1801	1786.68705732011	1801	1660.55333469762	1801	1801	1750.95974435519	1801	1801	1675.25679824078	1801
