trace	total.br.len	tree.height
mean	202.204532613898	47.4576967144399
stderr.of.mean	0.131349380080172	0.0121433014133847
stdev	4.08535360987898	0.509435922296563
variance	16.6901141177512	0.25952495892615
median	202.126821944034	47.4217681825979
mode	numeric	numeric
geometric.mean	202.163356486074	47.4549722194953
HPD95.lower	194.795601823135	46.5822873343123
HPD95.upper	210.839176630859	48.5102482042571
ACT	NA	NA
ESS	967.931431950434	1760.94958634308
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
