trace	total.br.len	tree.height
mean	917.328593910809	127.92731616557
stderr.of.mean	0.988663533874828	0.272246761246814
stdev	31.9412868939279	10.7808922609109
variance	1020.24580844021	116.227637941368
median	915.897109382084	126.445400778617
mode	numeric	numeric
geometric.mean	916.775588380238	127.487887797119
HPD95.lower	857.53379087849	109.302417739368
HPD95.upper	981.781949525336	151.217551131452
ACT	NA	NA
ESS	1044.35735419958	1569.00854847312
n.samples	1801	1801
chain.length	TRUE	TRUE
log.every	NA	NA
